Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link
Nội dung nào dưới đây là đặc trưng về phương diện kinh tế của chủ nghĩa xã hội?,Multiple Choice,Có nền kinh tế phát triển cao dựa trên lực lượng sản xuất hiện đại và chế độ công hữu về tư liệu sản xuất.,"Phát triển lực lượng sản xuất, đẩy mạnh công nghiệp hóa, hiện đại hóa.",Có nền kinh tế phát triển cao dựa trên lực lượng sản xuất hiện đại và chế độ công hữu về tư liệu sản xuất chủ yếu.,"Xác lập chế độ công hữu về tư liệu sản xuất, tổ chức lao động theo trình độ cao hơn.",,3,30,
"Khi phân tích về thời kì quá độ lên chủ nghĩa xã hội, người đầu tiên đặt vấn đề phải học tập các kinh nghiệm tổ chức, quản lí kinh tế của chủ nghĩa tư bản để cải tạo nền kinh tế tiểu nông lạc hậu là",Multiple Choice,C. Mác.,V.I. Lênin.,Ph. Ăngghen.,Hồ Chí Minh.,,2,30,
"Ai là người đưa ra quan điểm: ""Trong một nước tiểu nông, trước hết các đồng chí phải bắc những chiếc cầu nhỏ vững chắc, đi xuyên qua chủ nghĩa tư bản nhà nước, tiến lên chủ nghĩa xã hội""?",Multiple Choice,C. Mác.,Ph. Ăngghen.,Hồ Chí Minh.,V.I. Lênin.,,4,30,
"Ai cho rằng: ""Dùng cả hai tay mà lấy những cái tốt của nước ngoài: Chính quyền Xô viết + trật tự ở đường sắt Phổ + kĩ thuật và cách tổ chức các tơ-rớt ở Mỹ + ngành giáo dục quốc dân Mỹ etc. etc.++ = Σ (tổng số) = chủ nghĩa xã hội""?",Multiple Choice,C. Mác.,Ph. Ăngghen.,V.I. Lênin.,Hồ Chí Minh.,,3,30,
"Trong chế độ xã hội chủ nghĩa, nhà nước mang bản chất của giai cấp, tầng lớp nào dưới đây?",Multiple Choice,Nhân dân lao động.,Tầng lớp trí thức.,Giai cấp công nhân.,Giai cấp tư sản.,,3,30,
"Nhà nước kiểu mới thực hiện dân chủ cho tuyệt đại đa số nhân dân và trấn áp bọn bóc lột, bọn áp bức nhân dân bằng vũ lực là",Multiple Choice,nhà nước chiếm hữu nô lệ.,nhà nước phong kiến.,nhà nước vô sản.,nhà nước tư sản.,,3,30,
"""Người ta chỉ có thể trở thành người cộng sản khi biết làm giàu trí óc của mình bằng sự hiểu biết tất cả những kho tàng tri thức mà nhân loại đã tạo ra"" là câu nói của",Multiple Choice,V.I. Lênin.,C. Mác.,Ph. Ăngghen.,Hồ Chí Minh.,,1,30,
Người đầu tiên đưa chủ nghĩa xã hội từ lí thuyết thành thực tiễn sinh động là,Multiple Choice,C. Mác.,V.I. Lênin.,I.V. Stalin.,Hồ Chí Minh.,,2,30,
Ai là người đưa ra tư tưởng độc lập dân tộc gắn liền với chủ nghĩa xã hội?,Multiple Choice,V.I. Lênin.,Đặng Tiểu Bình.,Phạm Văn Đồng.,Hồ Chí Minh.,,4,30,
"Câu nói: ""Chủ nghĩa xã hội hay là chết"" là của",Multiple Choice,V.I. Lênin.,Fidel Castro.,Hồ Chí Minh.,Đặng Tiểu Bình.,,2,30,
"Điền từ ngữ thích hợp để hoàn thành đoạn trích trong tác phẩm Hệ tư tưởng Đức của C. Mác: ""Đối với chúng ta, chủ nghĩa cộng sản không phải là một ..... cần phải sáng tạo ra, không phải là một.......... mà hiện thực phải khuôn theo. Chúng ta gọi chủ nghĩa cộng sản là một phong trào .......... nó xoá bỏ trạng thái hiện nay"".",Multiple Choice,"lí tưởng, trạng thái, hiện thực.","trạng thái, hiện thực, lí tưởng.","trạng thái, lí tưởng, hiện thực.","hiện thực, lí tưởng, trạng thái.",,3,30,
"Điền từ thích hợp vào chỗ trống: ""Vậy thì danh từ.........có nghĩa là gì? Vận dụng vào kinh tế, có phải nó có nghĩa là trong chế độ hiện nay có những thành phần, những bộ phận, những mảnh của cả chủ nghĩa tư bản lẫn chủ nghĩa xã hội? Bất cứ ai cũng đều thừa nhận là có"" (V.I. Lênin).",Multiple Choice,quá độ.,nhảy vọt.,phát triển.,đan xen.,,1,30,
Nội dung nào dưới đây là đặc điểm nổi bật của thời kì quá độ lên chủ nghĩa xã hội?,Multiple Choice,Sự xác lập vai trò thống trị của giai cấp công nhân thông qua đội tiên phong là Đảng Cộng sản.,Xây dựng thành công chủ nghĩa xã hội.,"Tiến hành công nghiệp hóa, hiện đại hóa đất nước, xây dựng cơ sở vật chất - kĩ thuật cho chủ nghĩa xã hội.",Sự đan xen vừa thống nhất vừa đấu tranh giữa những yếu tố của xã hội cũ và những nhân tố mới của chủ nghĩa xã hội.,,4,30,
Nội dung nào dưới đây là thực chất của thời kì quá độ?,Multiple Choice,Thời kì tiếp tục cuộc đấu tranh của giai cấp công nhân chống giai cấp tư sản.,Thời kì cải biến cách mạng từ xã hội tiền tư bản và tư bản chủ nghĩa sang xã hội xã hội chủ nghĩa.,"Thời kì giai cấp công nhân phát triển kinh tế, xây dựng cơ sở vật chất - kĩ thuật cho chủ nghĩa xã hội.","Thời kì giai cấp công nhân tiến hành công nghiệp hóa, hiện đại hóa đất nước.",,2,30,
Nội dung nào dưới đây là đặc điểm kinh tế của thời kì quá độ lên chủ nghĩa xã hội?,Multiple Choice,"Tiến hành công nghiệp hóa, hiện đại hóa đất nước.",Tồn tại nền kinh tế nhiều thành phần.,Tồn tại duy nhất thành phần kinh tế tập thể.,Phát triển lực lượng sản xuất.,,2,30,
Nội dung nào dưới đây không phải là đặc điểm chính trị của thời kì quá độ lên chủ nghĩa xã hội?,Multiple Choice,"Thiết lập, tăng cường chuyên chính vô sản.",Giai cấp công nhân nắm và sử dụng quyền lực nhà nước trấn áp giai cấp tư sản.,Tồn tại nhiều tư tưởng khác nhau.,Giai cấp công nhân tổ chức xây dựng và bảo vệ chế độ mới.,,3,30,
Tiếp tục cuộc đấu tranh giai cấp giữa giai cấp vô sản đã chiến thắng nhưng chưa hoàn toàn chiến thắng với giai cấp tư sản đã thất bại nhưng chưa phải thất bại hoàn toàn là đặc điểm của thời kì quá độ trên phương diện,Multiple Choice,kinh tế.,"tư tưởng, văn hóa.",chính trị.,xã hội.,,3,30,
"Nội dung nào dưới đây là đặc điểm trên lĩnh vực tư tưởng, văn hóa của thời kì quá độ lên chủ nghĩa xã hội?",Multiple Choice,"Tồn tại nhiều giai cấp, tầng lớp.",Tồn tại nhiều tư tưởng khác nhau.,Tồn tại sự khác biệt giữa lao động trí óc và lao động chân tay.,Tồn tại nhiều thành phần kinh tế đối lập.,,2,30,
"Giai cấp công nhân từng bước xây dựng văn hóa vô sản, nền văn hóa mới xã hội chủ nghĩa, tiếp thu giá trị văn hóa dân tộc và tinh hoa văn hóa nhân loại, bảo đảm đáp ứng nhu cầu văn hóa tinh thần ngày càng tăng của nhân dân là đặc điểm của thời kì quá độ trên phương diện",Multiple Choice,chính trị.,kinh tế.,"tư tưởng, văn hóa.",xã hội.,,3,30,
Nội dung nào dưới đây không phải là đặc điểm trên lĩnh vực xã hội của thời kì quá độ lên chủ nghĩa xã hội?,Multiple Choice,Tồn tại nhiều tư tưởng khác nhau.,"Tồn tại sự khác biệt giữa thành thị, nông thôn.",Tồn tại sự khác biệt giữa lao động trí óc và lao động chân tay.,"Tồn tại nhiều hủ tục, tệ nạn xã hội.",,1,30,
Nội dung nào dưới đây là con đường phát triển của cách mạng Việt Nam được Chủ tịch Hồ Chí Minh nêu ra trong Chánh cương vắn tắt của Đảng?,Multiple Choice,Làm cách mạng dân tộc dân chủ nhân dân để đi thẳng tới chế độ cộng sản chủ nghĩa.,Làm tư sản dân quyền cách mạng và thổ địa cách mạng để đi tới xã hội cộng sản.,Làm thổ địa cách mạng và tư sản dân quyền cách mạng để đi tới xã hội cộng sản.,Làm tư sản dân quyền và thổ địa cách mạng để đi thẳng tới xã hội xã hội chủ nghĩa và cộng sản chủ nghĩa.,,2,30,
Con đường quá độ bỏ qua chế độ tư bản chủ nghĩa ở Việt Nam được đề cập lần đầu tiên ở văn kiện nào dưới đây của Đảng?,Multiple Choice,Cương lĩnh chính trị đầu tiên của Đảng tháng 2 năm 1930.,Luận cương chính trị tháng 10 năm 1930.,Chính cương của Đảng Lao động tháng 2 năm 1951.,Cương lĩnh xây dựng đất nước trong thời kì quá độ lên chủ nghĩa xã hội tháng 6 năm 1991.,,1,30,
Con đường cách mạng Việt Nam là quá độ lên chủ nghĩa xã hội bỏ qua chế độ tư bản chủ nghĩa là tất yếu vì,Multiple Choice,phù hợp với đặc điểm của đất nước và xu thế phát triển của thời đại.,Đảng Cộng sản Việt Nam đã có đường lối đúng đắn.,sự phát triển của lực lượng sản xuất.,đáp ứng được nguyện vọng và mong ước của nhân dân ta.,,1,30,
Thời kì quá độ lên chủ nghĩa xã hội trên phạm vi cả nước ta bắt đầu từ năm,Multiple Choice,1945.,1954.,1975.,1986.,,3,30,
"Quan điểm: Lấy nông nghiệp làm mặt trận hàng đầu trong chặng đường đầu tiên của thời kì quá độ, được Đảng ta nêu tại",Multiple Choice,Đại hội IV.,Đại hội V.,Đại hội VI.,Đại hội VII.,,2,30,
"Cương lĩnh xây dựng đất nước trong thời kì quá độ lên chủ nghĩa xã hội (1991) đã xác định mô hình chủ nghĩa xã hội ở nước ta có sáu đặc trưng, được Đảng Cộng sản Việt Nam thông qua tại",Multiple Choice,Đại hội VI.,Đại hội VIII.,Đại hội VII.,Đại hội IX.,,3,30,
Nội dung nào dưới đây không phải là đặc trưng của chủ nghĩa xã hội mà Đảng Cộng sản Việt Nam xác định trong Cương lĩnh xây dựng đất nước trong thời kì quá độ lên chủ nghĩa xã hội (1991)?,Multiple Choice,"Có Nhà nước pháp quyền xã hội chủ nghĩa của nhân dân, do nhân dân, vì nhân dân do Đảng Cộng sản lãnh đạo.",Do nhân dân lao động làm chủ.,Có một nền kinh tế phát triển cao dựa trên lực lượng sản xuất hiện đại và chế độ công hữu về các tư liệu sản xuất chủ yếu.,"Có nền văn hóa tiên tiến, đậm đà bản sắc dân tộc.",,1,30,
"Nhận thức của Đảng Cộng sản Việt Nam về chủ nghĩa xã hội và con đường đi lên chủ nghĩa xã hội không chỉ dừng ở nhận thức định hướng, định tính mà từng bước đạt tới trình độ định hình, định lượng tại",Multiple Choice,Đại hội VI.,Đại hội VII.,Đại hội VIII.,Đại hội IX.,,2,30,
"Tại Đại hội Đảng nào dưới đây, Đảng Cộng sản Việt Nam xác định: ""... thời kì phát triển mới - đẩy mạnh công nghiệp hóa, hiện đại hóa đất nước""?",Multiple Choice,Đại hội VI (1986).,Đại hội VII (1991).,Đại hội VIII (1996).,Đại hội IX (2001).,,3,30,
"Quá độ lên chủ nghĩa xã hội, bỏ qua chế độ tư bản chủ nghĩa là bỏ qua yếu tố nào dưới đây của chủ nghĩa tư bản?",Multiple Choice,Bỏ qua nhà nước của giai cấp tư sản và bỏ qua việc xác lập vị trí thống trị của kiến trúc thượng tầng tư bản chủ nghĩa.,Bỏ qua cơ sở kinh tế và kiến trúc thượng tầng tư bản chủ nghĩa.,Bỏ qua việc xác lập vị trí thống trị của quan hệ sản xuất tư bản chủ nghĩa.,Bỏ qua việc xác lập vị trí thống trị của quan hệ sản xuất và kiến trúc thượng tầng tư bản chủ nghĩa.,,4,30,
"Đẩy mạnh công nghiệp hóa, hiện đại hóa đất nước gắn với phát triển kinh tế tri thức, bảo vệ tài nguyên, môi trường là phương hướng xây dựng chủ nghĩa xã hội được Đảng Cộng sản Việt Nam đề ra tại",Multiple Choice,Đại hội VI.,Đại hội VII.,Đại hội VIII.,Đại hội IX.,,4,30,
Tám đặc trưng của xã hội xã hội chủ nghĩa mà nhân dân ta đang xây dựng được thể hiện trong văn kiện nào dưới đây của Đảng Cộng sản Việt Nam?,Multiple Choice,Văn kiện Đại hội Đảng toàn quốc lần thứ VI (12/1986).,Văn kiện Đại hội Đảng toàn quốc lần thứ VII (6/1991).,Văn kiện Đại hội Đảng toàn quốc lần thứ IX (4/2001).,Văn kiện Đại hội Đảng toàn quốc lần thứ XI (2011).,,4,30,
"Điền từ ngữ thích hợp vào chỗ trống: Tại Đại hội Đại biểu toàn quốc lần thứ XI, Đảng Cộng sản Việt Nam đã khẳng định: Xã hội xã hội chủ nghĩa là xã hội ""dân giàu, nước mạnh, ...... công bằng, văn minh"".",Multiple Choice,bình đẳng.,dân chủ.,hạnh phúc.,tự do.,,2,30,
Nguyên tắc phân phối cơ bản của thời kì quá độ lên chủ nghĩa xã hội là,Multiple Choice,theo nhu cầu.,theo cổ phần.,theo lao động.,theo nguyên tắc bình quân chủ nghĩa.,,3,30,
Tại Đại hội Đại biểu toàn quốc nào dưới đây của Đảng Cộng sản Việt Nam được gọi là Đại hội Đổi mới đất nước?,Multiple Choice,Đại hội IV.,Đại hội V.,Đại hội VI.,Đại hội VIII.,,3,30,
Nội dung nào dưới đây không phải là đặc điểm cơ bản của thời kì quá độ bỏ qua chế độ tư bản chủ nghĩa lên chủ nghĩa xã hội ở Việt Nam?,Multiple Choice,"Xuất phát từ một xã hội thuộc địa nửa phong kiến, với lực lượng sản xuất thấp.",Thời đại ngày nay vẫn là thời đại quá độ từ chủ nghĩa tư bản lên chủ nghĩa xã hội.,Cuộc cách mạng khoa học và công nghệ hiện đại đang diễn ra mạnh mẽ.,"Giao thoa, tiếp biến văn hóa đang diễn ra mạnh mẽ.",,4,30,
Nội dung nào dưới đây không phải là phương hướng xây dựng chủ nghĩa xã hội ở Việt Nam hiện nay được xác định trong Cương lĩnh xây dựng đất nước trong thời kì quá độ lên chủ nghĩa xã hội (bổ sung và phát triển năm 2011)?,Multiple Choice,Phát triển nền kinh tế thị trường định hướng xã hội chủ nghĩa.,"Bảo đảm vững chắc quốc phòng và an ninh quốc gia, trật tự, an toàn xã hội.",Có quan hệ hữu nghị và hợp tác với các nước trên thế giới.,"Xây dựng Đảng trong sạch, vững mạnh.",,3,30,
Nội dung nào dưới đây là đặc trưng thể hiện mục tiêu của xã hội xã hội chủ nghĩa mà nhân dân ta đang xây dựng?,Multiple Choice,Do nhân dân làm chủ.,"Dân giàu, nước mạnh, dân chủ, công bằng, văn minh.",Có nền văn hóa tiên tiến đậm đà bản sắc dân tộc.,"Có nhà nước pháp quyền xã hội chủ nghĩa của nhân dân, do nhân dân và vì nhân dân.",,2,30,
Nội dung nào dưới đây không phải là phương hướng xây dựng chủ nghĩa xã hội ở nước ta hiện nay?,Multiple Choice,"Đẩy mạnh công nghiệp hóa, hiện đại hóa đất nước gắn với phát triển kinh tế tri thức, bảo vệ tài nguyên, môi trường.",Phát triển nền kinh tế thị trường định hướng xã hội chủ nghĩa.,"Đổi mới căn bản, toàn diện nền giáo dục.","Xây dựng Đảng trong sạch, vững mạnh.",,3,30,
Nội dung nào dưới đây không phải là mối quan hệ lớn được Đại hội XII xác định cần nhận thức và giải quyết?,Multiple Choice,Giữa giữ gìn bản sắc và tiếp thu tinh hoa văn hóa nhân loại.,Giữa đổi mới kinh tế và đổi mới chính trị.,"Giữa đổi mới, ổn định và phát triển.","Giữa Đảng lãnh đạo, Nhà nước quản lí và nhân dân làm chủ.",,1,30,
