Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link
Dân chủ xã hội chủ nghĩa là nền dân chủ mang bản chất của,Multiple Choice,giai cấp công nhân và đội ngũ trí thức,giai cấp công nhân.,giai cấp công nhân và giai cấp nông dân.,giai cấp tư sản và giai cấp tiểu tư sản.,,2,30,
Dân chủ xã hội chủ nghĩa là nền dân chủ do,Multiple Choice,Đảng cầm quyền lãnh đạo.,Đảng của nhân dân lãnh đạo.,Đảng của giai cấp công nhân lãnh đạo.,Đảng của trí thức lãnh đạo.,,3,30,
"Nền dân chủ xã hội chủ nghĩa dựa trên hệ tư tưởng của giai cấp, tầng lớp nào sau đây?",Multiple Choice,Giai cấp nông dân.,Giai cấp tư sản.,Tầng lớp trí thức.,Giai cấp công nhân.,,4,30,
"Nền dân chủ cao hơn về chất so với nền dân chủ tư sản, ở đó mọi quyền lực thuộc về nhân dân, dân là chủ và dân làm chủ, dân chủ và pháp luật nằm trong sự thống nhất biện chứng; được thực hiện bằng Nhà nước pháp quyền xã hội chủ nghĩa, đặt dưới sự lãnh đạo của Đảng Cộng sản là nền dân chủ",Multiple Choice,nguyên thuỷ.,chủ nô.,phong kiến.,xã hội chủ nghĩa.,,4,30,
"Khái niệm ""dân chủ xã hội chủ nghĩa"" đồng nghĩa với thuật ngữ nào dưới đây?",Multiple Choice,Dân chủ nguyên thuỷ.,Dân chủ chủ nô.,Dân chủ vô sản.,Dân chủ tư sản.,,3,30,
Nền dân chủ xã hội chủ nghĩa về cơ bản thống nhất với khái niệm nào dưới đây?,Multiple Choice,Chuyên chính vô sản.,Chủ nghĩa xã hội.,Xã hội xã hội chủ nghĩa.,Chính đảng của giai cấp công nhân.,,1,30,
"Không ngừng mở rộng dân chủ, nâng cao mức độ giải phóng cho những người lao động, thu hút họ tham gia tự giác vào công việc quản lí nhà nước, quản lí xã hội là",Multiple Choice,nguyên tắc cơ bản của nền dân chủ chủ nô.,nguyên tắc cơ bản của nền dân chủ xã hội chủ nghĩa.,nguyên tắc cơ bản của nền dân chủ tư sản.,nội dung cơ bản của nền dân chủ xã hội chủ nghĩa.,,4,30,
Nền dân chủ xã hội chủ nghĩa trên thế giới chính thức được xác lập gắn với sự kiện nào sau đây?,Multiple Choice,Cách mạng tháng Mười Nga (1917).,Công xã Pari ra đời (1871).,Cách mạng tháng Hai Nga (1917).,Cách mạng tháng Tám ở Việt Nam (1945).,,1,30,
Nội dung nào dưới đây không phải là đặc trưng cơ bản của nền dân chủ xã hội chủ nghĩa?,Multiple Choice,Đảm bảo quyền lực thuộc về nhân dân.,Có cơ sở kinh tế là chế độ công hữu về tư liệu sản xuất chủ yếu của xã hội.,"Thực hiện dân chủ với mọi tầng lớp, mọi giai cấp trong xã hội.","Kết hợp hài hoà lợi ích cá nhân, tập thể và xã hội.",,3,30,
Cơ sở kinh tế của nền dân chủ xã hội chủ nghĩa là,Multiple Choice,chế độ công hữu về những tư liệu sản xuất chủ yếu của xã hội.,nền kinh tế hàng hóa nhiều thành phần.,chế độ sở hữu tư nhân về tư liệu sản xuất.,nền kinh tế thị trường xã hội chủ nghĩa.,,1,30,
"Điền từ ngữ thích hợp vào chỗ trống: Dân chủ xã hội chủ nghĩa là nền dân chủ ........ so với nền dân chủ tư sản, là nền dân chủ mà ở đó mọi quyền lực thuộc về nhân dân, ......, dân chủ và pháp luật nằm trong sự thống nhất biện chứng, được thực hiện bằng ........... , đặt dưới sự lãnh đạo của Đảng Cộng sản.",Multiple Choice,cao hơn về chất; dân là chủ và dân làm chủ; Nhà nước pháp quyền xã hội chủ nghĩa.,"cao nhất; của dân, do dân, vì dân; quyền lực nhà nước.","tuyệt đối; dân bàn, dân làm, dân kiểm tra; Hiến pháp và pháp luật.","tuyệt đối; dân bàn, dân làm, dân kiểm tra; Hiến pháp và pháp luật.",,1,30,
"Điền từ ngữ thích hợp vào chỗ trống để hoàn thiện nhận định trong tác phẩm Phê phán cương lĩnh Gôta: ""Quyền không bao giờ có thể ở mức độ cao hơn chế độ ..... và sự phát triển văn hóa của xã hội do chế độ .... đó quyết định"".",Multiple Choice,Kinh tế,Chính trị,Xã hội,Nhà nước,,1,30,
"Trong việc thực hiện quyền dân chủ trên lĩnh vực chính trị, công dân sẽ không thực hiện hành vi nào sau đây?",Multiple Choice,Ứng cử và bầu cử.,"Kiểm tra, thanh tra mọi hoạt động của nhà nước.",Tham gia quản lí nhà nước.,Tham gia giám sát mọi hoạt động của nhà nước.,,2,30,
"""Thực hành dân chủ là cái chìa khóa vạn năng có thể giải quyết mọi khó khăn"" là câu nói của",Multiple Choice,V.I. Lênin.,Mao Trạch Đông.,Phạm Văn Đồng.,Hồ Chí Minh.,,4,30,
"Điền từ ngữ thích hợp vào chỗ trống để hoàn thiện khẳng định của Đảng Cộng sản Việt Nam trong Cương lĩnh năm 1991: ""Dân chủ gắn liền với ...... xã hội phải được thực hiện trong thực tế cuộc sống trên tất cả các lĩnh vực chính trị, kinh tế, văn hóa, xã hội thông qua hoạt động của Nhà nước do nhân dân cử ra và bằng các hình thức dân chủ....""",Multiple Choice,bình đẳng; trục tiếp.,công bằng; trực tiếp.,công bằng; gián tiếp.,bình đẳng; gián tiếp.,,2,30,
"Điền từ ngữ thích hợp vào chỗ trống để hoàn thiện khẳng định của Đảng Cộng sản Việt Nam trong Cương lĩnh năm 1991: ""Dân chủ đi đôi với .. , kỉ cương, phải được thể chế hóa bằng ..... và ...... bảo đảm"".",Multiple Choice,kỉ luật; hiến pháp; hiến pháp.,kỉ luật; pháp luật; pháp luật.,đảm bảo; pháp luật; pháp luật.,đảm bảo; hiến pháp; hiến pháp.,,2,30,
Nền dân chủ xã hội chủ nghĩa có sự kết hợp hài hoà về,Multiple Choice,"quan điểm giữa cá nhân, tập thể với toàn xã hội.","lợi ích giữa cá nhân, tập thể với lợi ích của toàn xã hội.","văn hóa giữa cá nhân, tập thể với toàn xã hội.","nhận thức giữa cá nhân, tập thể với toàn xã hội.",,2,30,
Chế độ dân chủ nhân dân ở nước ta được xác lập,Multiple Choice,sau khi Đảng Cộng sản Việt Nam ra đời năm 1930.,sau Cách mạng tháng Tám năm 1945.,sau chiến thắng Điện Biên Phủ năm 1954.,sau đại thắng mùa xuân năm 1975.,,2,30,
"Đảng Cộng sản Việt Nam khẳng định: ""Trong toàn bộ hoạt động của mình, Đảng phải quán triệt tư tưởng ""lấy dân làm gốc"", xây dựng và phát huy quyền làm chủ của nhân dân lao động"" trong Đại hội nào dưới đây?",Multiple Choice,Đại hội IV.,Đại hội V.,Đại hội VI.,Đại hội VII.,,3,30,
"Đảng Cộng sản Việt Nam khẳng định: ""Chúng ta xác định mối quan hệ Đảng lãnh đạo, nhân dân làm chủ, nhà nước quản lí thành cơ chế chung trong quản lí toàn bộ xã hội"" trong Đại hội nào dưới đây?",Multiple Choice,Đại hội VI.,Đại hội VIII.,Đại hội VII.,Đại hội IX.,,3,30,
Định hướng nào dưới đây không phải là định hướng nhằm phát huy dân chủ xã hội chủ nghĩa ở Việt Nam?,Multiple Choice,"Hoàn thiện thể chế kinh tế thị trường định hướng xã hội chủ nghĩa, tạo ra cơ sở kinh tế vững chắc.","Xây dựng Đảng Cộng sản Việt Nam trong sạch, vững mạnh với tư cách là điều kiện tiên quyết để xây dựng nền dân chủ xã hội chủ nghĩa.",Phát huy vai trò của các tổ chức chính trị - xã hội bằng cách tách các tổ chức này ra ngoài hệ thống chính trị nhằm tăng tính độc lập của các tổ chức.,"Xây dựng và từng bước hoàn thiện các hệ thống giám sát, phản biện xã hội, phát huy quyền làm chủ của nhân dân.",,3,30,
Nguyên nhân nào dưới đây dẫn tới sự xuất hiện của nhà nước?,Multiple Choice,Sự xuất hiện chế độ tư bản chủ nghĩa và phân chia giai cấp.,Sự xuất hiện của chế độ phong kiến và phân chia giai cấp.,Sự xuất hiện của chế độ tư hữu và phân chia giai cấp.,Sự xuất hiện của chế độ xã hội chủ nghĩa và phân chia giai cấp.,,3,30,
"Căn cứ vào tính chất của quyền lực, nhà nước có chức năng nào dưới đây?",Multiple Choice,Chức năng đối nội và chức năng đối ngoại.,Chức năng quản lí kinh tế và quản lí chính trị.,Chức năng giai cấp và chức năng xã hội.,Chức năng lãnh đạo và chức năng giám sát.,,3,30,
"Căn cứ vào phạm vi tác động của quyền lực, nhà nước có chức năng nào dưới đây?",Multiple Choice,Chức năng quản lí kinh tế và quản lí chính trị.,Chức năng giai cấp và chức năng xã hội.,Chức năng lãnh đạo và chức năng giám sát.,Chức năng đối nội và chức năng đối ngoại.,,4,30,
"Căn cứ vào lĩnh vực tác động của quyền lực, nhà nước có",Multiple Choice,chức năng đối nội và chức năng đối ngoại.,chức năng giai cấp và chức năng xã hội.,chức năng lãnh đạo và chức năng giám sát.,"chức năng chính trị, kinh tế, văn hóa.",,4,30,
"Trong xã hội có giai cấp, nhà nước luôn mang bản chất của",Multiple Choice,giai cấp có lực lượng đông đảo nhất.,giai cấp có trình độ cao nhất.,giai cấp thống trị xã hội.,giai cấp đại diện cho lực lượng sản xuất tiên tiến.,,3,30,
Nhà nước tư sản mang bản chất của giai cấp,Multiple Choice,chủ nô.,địa chủ.,tư sản.,công nhân.,,3,30,
Nhà nước xã hội chủ nghĩa mang bản chất của giai cấp,Multiple Choice,Công nhân.,Chủ nô.,Địa chủ.,Tư sản.,,1,30,
"Nhà nước xã hội chủ nghĩa vừa có tính nhân dân rộng rãi và tính dân tộc sâu sắc, vừa có bản chất của giai cấp",Multiple Choice,công nhân.,địa chủ.,tư sản.,chủ nô.,,1,30,
"Bản chất của nhà nước xã hội chủ nghĩa chịu sự quy định của cơ sở kinh tế xã hội chủ nghĩa, đó là",Multiple Choice,quan hệ sở hữu tư nhân về tư liệu sản xuất chủ yếu.,vừa quan hệ sở hữu tư nhân vừa quan hệ sở hữu xã hội về tư liệu sản xuất chủ yếu.,quan hệ sở hữu xã hội về tư liệu sản xuất chủ yếu.,chủ yếu là quan hệ sở hữu xã hội về tư liệu sản xuất.,,3,30,
"Về văn hóa, xã hội, nhà nước xã hội chủ nghĩa được xây dựng trên nền tảng tinh thần là",Multiple Choice,tư tưởng Hồ Chí Minh về chủ nghĩa xã hội.,"lí luận của chủ nghĩa Mác - Lênin và những giá trị văn hóa tiên tiến của nhân loại, đồng thời mang bản sắc riêng của dân tộc.","tư tưởng Hồ Chí Minh về chủ nghĩa xã hội và những giá trị văn hóa tiên tiến của nhân loại, đồng thời mang bản sắc riêng của dân tộc.",lí luận của chủ nghĩa Mác - Lênin và những giá trị văn hóa tiên tiến của nhân loại.,,2,30,
Nhà nước của giai cấp bóc lột thực hiện chức năng nào dưới đây là chủ yếu?,Multiple Choice,Chức năng đối nội.,Chức năng bạo lực trấn áp.,Chức năng đối ngoại.,"Chức năng tổ chức, xây dựng.",,2,30,
"Nhà nước xã hội chủ nghĩa trong thời kì quá độ thực hiện chức năng bạo lực trấn áp, nhưng đó là sự trấn áp của",Multiple Choice,thiểu số bóc lột với nhân dân lao động.,nhân dân lao động đối với thiểu số bóc lột.,nhân dân lao động với lực lượng chậm tiến.,giai cấp bóc lột đối với thiểu số chậm tiến.,,2,30,
"Câu nói ""Bất cứ một nhà nước nào cũng đều có nghĩa là dùng bạo lực; nhưng toàn bộ sự khác nhau là ở chỗ dùng bạo lực đối với những người bị bóc lột hay đối với kẻ đi bóc lột"" là của",Multiple Choice,C. Mác.,Ph. Ăngghen.,V.I. Lênin.,Hồ Chí Minh.,,3,30,
Nội dung chủ yếu và mục đích cuối cùng của nhà nước xã hội chủ nghĩa là,Multiple Choice,bạo lực trấn áp đối với thiểu số bóc lột.,"bạo lực trấn áp đối với thiểu số bóc lột, cải tạo xã hội cũ.","cải tạo xã hội cũ, xây dựng thành công xã hội mới.","cải tạo xã hội cũ, đưa giai cấp công nhân lên địa vị làm chủ.",,3,30,
"Nhà nước mà ở đó sự thống trị chính trị thuộc về giai cấp công nhân, do cách mạng xã hội chủ nghĩa sản sinh ra và có sứ mệnh xây dựng thành công chủ nghĩa xã hội, đưa nhân dân lao động lên địa vị làm chủ trên tất cả các mặt của đời sống xã hội trong một xã hội phát triển cao là nhà nước",Multiple Choice,cộng sản chủ nghĩa.,tư sản.,phong kiến.,xã hội chủ nghĩa.,,4,30,
Nhà nước xã hội chủ nghĩa hiện thực đầu tiên được thành lập ở,Multiple Choice,Trung Quốc.,Liên Xô.,Cu Ba.,Việt Nam.,,2,30,
"Đảng Cộng sản Việt Nam rút ra bốn bài học chủ yếu, trong đó có bài học: ""Đổi mới phải dựa vào nhân dân, vì lợi ích của nhân dân, phù hợp với thực tiễn, luôn luôn sáng tạo"" tại Đại hội nào dưới đây?",Multiple Choice,Đại hội VI (1986).,Đại hội VII (1991).,Đại hội IX (2001).,Đại hội VIII (1996).,,1,30,
Thành tố dân chủ xã hội chủ nghĩa đã được đưa vào tên của chủ đề Đại hội nào của Đảng Cộng sản Việt Nam?,Multiple Choice,Đại hội VIII (1996).,Đại hội X (2006).,Đại hội XI (2011).,Đại hội XII (2016).,,2,30,
Các quy chế dân chủ từ cơ sở cho đến Trung ương và trong các tổ chức chính trị - xã hội đều thực hiện phương châm,Multiple Choice,"""dân biết, dân làm, dân kiểm tra"".","""dân biết, dân tham gia, dân làm, dân kiểm tra"".","""dân biết, dân bàn, dân làm, dân kiểm tra"".","""dân bàn, dân tham gia, dân kiểm tra"".",,3,30,
"Nhà nước pháp quyền xã hội chủ nghĩa Việt Nam được lãnh đạo bởi tổ chức, cơ quan nào dưới đây?",Multiple Choice,Quốc hội.,Mặt trận Tổ quốc.,Đảng Cộng sản Việt Nam.,Các tổ chức chính trị-xã hội.,,3,30,
Nhà nước pháp quyền xã hội chủ nghĩa Việt Nam là nhà nước,Multiple Choice,"của dân, do dân, vì dân, do công nhân lãnh đạo.","của dân, do dân, vì dân, do Đảng Cộng sản Việt Nam lãnh đạo.","của dân, do dân, vì dân, do nông dân lãnh đạo.","có lợi ích giữa cá nhân, tập thể và lợi ích của toàn xã hội.",,2,30,
"Nhà nước pháp quyền xã hội chủ nghĩa Việt Nam mang bản chất của giai cấp, tầng lớp nào sau đây?",Multiple Choice,Công nhân.,Công nhân và nông dân.,Nông dân và đội ngũ tri thức.,"Tất cả các giai cấp, tầng lớp trong xã hội.",,1,30,
Tổ chức nào dưới đây đóng vai trò trụ cột trong hệ thống chính trị ở nước ta hiện nay?,Multiple Choice,Nhà nước cộng hoà xã hội chủ nghĩa Việt Nam.,Đảng Cộng sản Việt Nam.,Mặt trận Tổ quốc.,Các tổ chức chính trị - xã hội.,,1,30,
Quyền lực Nhà nước pháp quyền xã hội chủ nghĩa Việt Nam là,Multiple Choice,"thống nhất, không có sự phân công và phối hợp giữa ba cơ quan: lập pháp, hành pháp và tư pháp.","không thống nhất nhưng có sự phân công và phối hợp giữa ba cơ quan: lập pháp, hành pháp và tư pháp.","thống nhất, có sự phân công và phối hợp giữa ba cơ quan: lập pháp, hành pháp và tư pháp.","có sự phân chia độc lập, rõ ràng giữa ba cơ quan: lập pháp, hành pháp và tư pháp.",,3,30,
Nội dung nào dưới đây không phải là định hướng nhằm tiếp tục xây dựng và hoàn thiện Nhà nước pháp quyền xã hội chủ nghĩa ở Việt Nam?,Multiple Choice,Cải cách thể chế và phương thức hoạt động của Nhà nước.,"Xây dựng đội ngũ cán bộ, công chức trong sạch, có năng lực.","Đấu tranh phòng, chống tham nhũng, lãng phí, thực hành tiết kiệm.",Xây dựng Nhà nước pháp quyền xã hội chủ nghĩa đặt dưới sự lãnh đạo của nhân dân.,,4,30,
"Ở Việt Nam, thuật ngữ ""Nhà nước pháp quyền xã hội chủ nghĩa Việt Nam"" lần đầu tiên được nêu ra ở",Multiple Choice,Đại hội đại biểu toàn quốc khóa VI của Đảng (1986).,Hội nghị đại biểu Trung ương 3 khóa VI (1989).,Hội nghị đại biểu toàn quốc giữa nhiệm kì khóa VII (1994).,Đại hội đại biểu toàn quốc khóa VII (1991).,,3,30,
"Điền từ ngữ thích hợp vào chỗ trống: ""Nước ta là nước dân chủ, nghĩa là nước nhà do nhân dân làm chủ. Nhân dân có quyền lợi làm chủ, thì phải có ... làm tròn bổn phận công dân"" (Hồ Chí Minh).",Multiple Choice,trách nhiệm.,nghĩa vụ.,trình độ để.,khả năng để.,,2,30,
Nhà nước pháp quyền xã hội chủ nghĩa quản lí mọi mặt của đời sống xã hội chủ yếu bằng,Multiple Choice,"đường lối, chính sách.","tuyên truyền, giáo dục.","báo chí, truyền thông.","hiến pháp, pháp luật.",,4,30,
Mục tiêu nào dưới đây không phải là mục tiêu của Nhà nước pháp quyền xã hội chủ nghĩa Việt Nam?,Multiple Choice,"Phục vụ nhân dân, lắng nghe ý kiến của nhân dân.",Thực hiện đầy đủ các quyền làm chủ của nhân dân.,Gắn bó mật thiết với nhân dân.,Kiểm soát chặt chẽ mọi mặt đời sống của nhân dân.,,4,30,
Yếu tố nào dưới đây là quan trọng nhất đối với việc phát huy quyền làm chủ của người dân?,Multiple Choice,Nâng cao đời sống văn hóa tinh thần cho người dân.,Nâng cao trình độ dân trí cho người dân.,Nâng cao đời sống vật chất của người dân.,Nâng cao bản lĩnh làm chủ cho người dân.,,4,30,
