Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link
Nội dung nào dưới đây là tiền đề khoa học tự nhiên cho sự ra đời của chủ nghĩa xã hội khoa học?,Multiple Choice,Triết học cổ điển Đức.,Kinh tế chính trị cổ điển Anh.,Học thuyết tiến hóa của Darwin.,Chủ nghĩa xã hội không tưởng Pháp.,,3,30,
Nội dung nào dưới đây là tiền đề khoa học tự nhiên cho sự ra đời của chủ nghĩa xã hội khoa học?,Multiple Choice,Định luật bảo toàn và chuyển hóa năng lượng.,Định luật chuyển động Newton.,Định luật quán tính.,Định luật hấp dẫn.,,1,30,
Nội dung nào dưới đây là tiền đề khoa học tự nhiên cho sự ra đời của chủ nghĩa xã hội khoa học?,Multiple Choice,Định luật chuyển động Newton.,Học thuyết tế bào.,Định luật quán tính.,Thuyết trường lượng tử.,,2,30,
Nội dung nào dưới đây không phải là tiền đề khoa học tự nhiên cho sự ra đời của chủ nghĩa xã hội khoa học?,Multiple Choice,Thuyết tương đối đặc biệt.,Định luật bảo toàn và chuyển hóa năng lượng.,Học thuyết tiến hóa của Darwin.,Học thuyết tế bào.,,1,30,
Nội dung nào dưới đây là tiền đề tư tưởng lí luận cho sự ra đời của chủ nghĩa xã hội khoa học?,Multiple Choice,Kinh tế chính trị cổ điển Anh.,Triết học hiện sinh.,Học thuyết tiến hóa của Darwin.,Chủ nghĩa thực chứng logic.,,1,30,
Nội dung nào dưới đây là tiền đề tư tưởng lí luận cho sự ra đời của chủ nghĩa xã hội khoa học?,Multiple Choice,Triết học cổ điển Đức.,Triết học Tây Âu trung cổ.,Triết học hiện sinh.,Triết học phương Tây hiện đại.,,1,30,
Nội dung nào dưới đây là tiền đề tư tưởng lí luận cho sự ra đời của chủ nghĩa xã hội khoa học?,Multiple Choice,Chủ nghĩa xã hội không tưởng Pháp.,Chủ nghĩa thực chứng logic.,Học thuyết tiến hóa của Darwin.,Chủ nghĩa kinh nghiệm tự nhiên.,,1,30,
Nội dung nào dưới đây không phải là tiền đề tư tưởng lí luận cho sự ra đời của chủ nghĩa xã hội khoa học?,Multiple Choice,Triết học cổ điển Đức.,Chủ nghĩa xã hội không tưởng Pháp.,Kinh tế chính trị cổ điển Anh.,Định luật chuyển động Newton.,,4,30,
"Tác phẩm nào dưới đây thể hiện rõ sự chuyển biến tư tưởng của C. Mác từ thế giới quan duy tâm sang thế giới quan duy vật, từ lập trường dân chủ cách mạng sang lập trường cộng sản chủ nghĩa?",Multiple Choice,Góp phần phê phán triết học pháp quyền của Hêghen — Lời nói đầu.,Tình cảnh giai cấp công nhân Anh.,Lược khảo khoa kinh tế — chính trị.,Bộ Tư bản.,,1,30,
"Tác phẩm nào dưới đây thể hiện rõ sự chuyển biến tư tưởng của Ph. Ăngghen từ thế giới quan duy tâm sang thế giới quan duy vật, từ lập trường dân chủ cách mạng sang lập trường cộng sản chủ nghĩa?",Multiple Choice,Tình cảnh giai cấp công nhân Anh.,Góp phần phê phán Triết học pháp quyền của Hêghen - Lời nói đầu.,Bản thảo kinh tế triết học năm 1844.,Bộ Tư bản.,,1,30,
"Tác phẩm nào dưới đây thể hiện rõ sự chuyển biến tư tưởng của Ph. Ăngghen từ thế giới quan duy tâm sang thế giới quan duy vật, từ lập trường dân chủ cách mạng sang lập trường cộng sản chủ nghĩa?",Multiple Choice,Lược khảo khoa kinh tế — chính trị.,Bộ Tư bản.,Góp phần phê phán Triết học pháp quyền của Hêghen - Lời nói đầu.,Bản thảo kinh tế triết học năm 1844.,,1,30,
"Từ 1843 đến 1848, C. Mác và Ph. Ăngghen cho ra đời nhiều tác phẩm lớn, đánh dấu sự chuyển biến tư tưởng",Multiple Choice,"từ thế giới quan duy tâm sang thế giới quan duy vật, từ lập trường dân chủ cách mạng sang lập trường cộng sản chủ nghĩa.","từ thế giới quan duy vật sang thế giới quan duy tâm, từ lập trường dân chủ cách mạng sang lập trường cộng sản chủ nghĩa.","từ thế giới quan duy vật sang thế giới quan duy tâm, từ lập trường cộng sản chủ nghĩa sang lập trường dân chủ cách mạng.","từ thế giới quan duy tâm sang thế giới quan duy vật, từ lập trường cộng sản chủ nghĩa sang lập trường dân chủ cách mạng.",,1,30,
"Học thuyết nào dưới đây của C. Mác và Ph. Ăngghen có nội dung cơ bản là lí luận về hình thái kinh tế - xã hội, là cơ sở về mặt triết học để nghiên cứu xã hội tư bản chủ nghĩa, khẳng định sự sụp đổ của chủ nghĩa tư bản và thắng lợi của chủ nghĩa xã hội, chủ nghĩa cộng sản là tất yếu như nhau?",Multiple Choice,Học thuyết duy vật lịch sử.,Học thuyết duy vật biện chứng.,Học thuyết giá trị thặng dư.,Học thuyết về sứ mệnh lịch sử thế giới của giai cấp công nhân.,,1,30,
"Học thuyết nào dưới đây của C. Mác và Ph. Ăngghen chỉ rõ bản chất của chế độ làm thuê trong chế độ tư bản, đã chứng minh một cách khoa học về loại ""hàng hóa đặc biệt"", hàng hóa sức lao động của công nhân mà nhà tư bản đã mua và có những thủ đoạn tinh vi để chiếm đoạt giá trị mới do nó sinh ra?",Multiple Choice,Học thuyết giá trị thặng dư.,Học thuyết duy vật biện chứng.,Học thuyết duy vật lịch sử.,Học thuyết về sứ mệnh lịch sử thế giới của giai cấp công nhân.,,1,30,
Học thuyết nào dưới đây của C. Mác và Ph. Ăngghen đã khắc phục được một cách triệt để những hạn chế có tính lịch sử của chủ nghĩa xã hội không tưởng; luận chứng sâu sắc về bản chất trên phương diện chính trị - xã hội của sự diệt vong không tránh khỏi của chủ nghĩa tư bản và sự ra đời tất yếu của chủ nghĩa xã hội?,Multiple Choice,Học thuyết về sứ mệnh lịch sử thế giới của giai cấp công nhân.,Học thuyết duy vật biện chứng.,Học thuyết duy vật lịch sử.,Học thuyết giá trị thặng dư.,,1,30,
Tác phẩm nào dưới đây đánh dấu sự ra đời của chủ nghĩa Mác - Lênin với tư cách là chủ nghĩa xã hội khoa học theo nghĩa rộng?,Multiple Choice,Tình cảnh giai cấp công nhân Anh.,Những nguyên lí của chủ nghĩa cộng sản.,Tuyên ngôn của Đảng Cộng sản.,Điều lệ của Đồng minh những người cộng sản.,,3,30,
Tác phẩm Tuyên ngôn của Đảng Cộng sản ra đời vào,Multiple Choice,tháng 2 năm 1842.,tháng 8 năm 1842.,tháng 8 năm 1848.,tháng 2 năm 1848.,,4,30,
"Tác phẩm nào dưới đây là cương lĩnh chính trị, là kim chỉ nam hành động của toàn bộ phong trào cộng sản và công nhân quốc tế trong cuộc đấu tranh chống chủ nghĩa tư bản, giải phóng loài người vĩnh viễn khỏi mọi áp bức, bóc lột giai cấp, đảm bảo cho loài người có cuộc sống ấm no, tự do, hạnh phúc, được phát triển toàn diện?",Multiple Choice,Tình cảnh giai cấp công nhân Anh.,Tuyên ngôn của Đảng Cộng sản.,Những nguyên lí của chủ nghĩa cộng sản.,Điều lệ của Đồng minh những người cộng sản.,,2,30,
"Tác phẩm nào dưới đây đã phân tích một cách có hệ thống lịch sử và logic hoàn chỉnh về những vấn đề cơ bản nhất, đầy đủ, xúc tích và chặt chẽ nhất, thâu tóm gần như toàn bộ những luận điểm của chủ nghĩa xã hội?",Multiple Choice,Tình cảnh giai cấp công nhân Anh.,Những nguyên lí của chủ nghĩa cộng sản.,Tuyên ngôn của Đảng Cộng sản.,Điều lệ của Đồng minh những người cộng sản.,,3,30,
Tác phẩm nào dưới đây không được C. Mác và Ph. Ăngghen viết trong giai đoạn từ năm 1848 đến Công xã Pari (1871)?,Multiple Choice,Chống Đuyrinh.,Ngày mười tám tháng Sương mù của Lui Bônapactơ.,Chiến tranh nông dân ở Đức.,Cách mạng và phản cách mạng ở Đức.,,1,30,
Tác phẩm nào dưới đây không được C. Mác và Ph. Ăngghen viết trong giai đoạn sau từ Công xã Pari đến năm 1895 (Ph. Ăngghen mất)?,Multiple Choice,Ngày mười tám tháng Sương mù của Lui Bônapactơ.,Nội chiến ở Pháp.,"Nguồn gốc của gia đình, của chế độ tư hữu và của nhà nước.",Sự phát triển của chủ nghĩa xã hội từ không tưởng đến khoa học.,,1,30,
Tác phẩm nào dưới đây không được V.I. Lênin viết trong giai đoạn trước Cách mạng tháng Mười Nga?,Multiple Choice,Bàn về nhà nước.,Làm gì?,"Một bước tiến, hai bước lùi.",Nhà nước và cách mạng.,,1,30,
Tác phẩm nào dưới đây không được V.I. Lênin viết trong giai đoạn sau Cách mạng tháng Mười Nga?,Multiple Choice,Cách mạng vô sản và tên phản bội Causky.,Những nhiệm vụ trước mắt của chính quyền Xô viết.,Bàn về nhà nước.,Những người bạn dân là thế nào và họ đấu tranh chống những người dân chủ ra sao?,,4,30,
Phát triển chủ nghĩa xã hội từ không tưởng đến khoa học là công lao của,Multiple Choice,G.W.F. Hegel.,V.L Lênin.,C . Mác và Ph. Ăngghen.,TV. Stalin.,,3,30,
Biến chủ nghĩa xã hội khoa học từ lí luận thành hiện thực là công lao của:,Multiple Choice,V.I. Lênin.,G.W.F. Hegel.,C . Mác và Ph. Ăngghen.,TV. Stalin.,,1,30,
"Người trực tiếp lãnh đạo Đảng của giai cấp công nhân Nga tập hợp lực lượng đấu tranh chống chế độ chuyên chế Nga hoàng, tiến tới giành chính quyền về tay giai cấp công nhân và nhân dân lao động Nga là",Multiple Choice,C . Mác và Ph. Ăngghen.,I.V. Stalin,V.I. Lênin.,G. Dimitrov.,,3,30,
"Giai đoạn nào dưới đây được coi là ""Thời đoạn Stalin"" trực tiếp vận dụng và phát triển chủ nghĩa xã hội khoa học?",Multiple Choice,1920- 1945.,1924- 1945.,1924-1953.,1945- 1953.,,3,30,
Bằng con đường nào để thực hiện bước chuyển biến thay thế chủ nghĩa tư bản bằng chủ nghĩa xã hội thì đó là nhiệm vụ của,Multiple Choice,Triết học Mác – Lênin.,Kinh tế chính trị Mác - Lênin.,Chủ nghĩa xã hội hiện thực.,Chủ nghĩa xã hội khoa học.,,4,30,
"Phê phán, đấu tranh bác bỏ những trào lưu tư tưởng chống cộng, chống chủ nghĩa xã hội, bảo vệ sự trong sáng của chủ nghĩa Mác - Lênin và những thành quả của cách mạng xã hội chủ nghĩa là một nhiệm vụ vô cùng quan trọng của",Multiple Choice,chủ nghĩa xã hội không tưởng.,chủ nghĩa xã hội không tưởng phê phán.,chủ nghĩa Mác - Lênin.,chủ nghĩa xã hội khoa học.,,4,30,
"Những quy luật, tính quy luật chính trị - xã hội của quá trình phát sinh và phát triển của hình thái kinh tế - xã hội cộng sản chủ nghĩa mà giai đoạn thấp là chủ nghĩa xã hội; Những nguyên tắc cơ bản, những điều kiện, những con đường và hình thức, phương pháp đấu tranh cách mạng của giai cấp công nhân và nhân dân lao động nhằm hiện thực hóa sự chuyển biến từ chủ nghĩa tư bản lên chủ nghĩa xã hội và chủ nghĩa cộng sản là đối tượng nghiên cứu của",Multiple Choice,Triết học Mác - Lênin.,Kinh tế chính trị Mác - Lênin.,Chủ nghĩa xã hội hiện thực.,Chủ nghĩa xã hội khoa học.,,4,30,
Luận chứng một cách khoa học tính tất yếu về mặt lịch sử sự thay thế của chủ nghĩa tư bản bằng chủ nghĩa xã hội gắn liền với sứ mệnh lịch sử thế giới của giai cấp công nhân là nhiệm vụ của,Multiple Choice,chủ nghĩa xã hội khoa học.,chủ nghĩa xã hội không tưởng.,chủ nghĩa xã hội không tưởng phê phán.,triết học Mác - Lênin.,,1,30,
Nội dung nào dưới đây được coi là phương pháp luận chung nhất cho việc nghiên cứu chủ nghĩa xã hội khoa học?,Multiple Choice,Phương pháp luận duy vật biện chứng và phương pháp luận duy vật lịch sử của triết học Mác - Lênin.,Phương pháp luận duy tâm biện chứng của Hegel và phương pháp luận duy vật nhân bản của Feuerbach.,Phương pháp trừu tượng hóa khoa học.,Phương pháp logic và lịch sử.,,1,30,
Nội dung nào dưới đây không phải là phương pháp nghiên cứu cụ thể của chủ nghĩa xã hội khoa học?,Multiple Choice,Phương pháp logic và lịch sử.,Phương pháp khảo sát và phân tích về mặt chính trị - xã hội.,Các phương pháp có tính liên ngành.,Phương pháp trừu tượng hóa khoa học.,,4,30,
"Góp phần quan trọng việc giáo dục niềm tin khoa học cho nhân dân vào mục tiêu, lí tưởng xã hội chủ nghĩa và con đường đi lên chủ nghĩa xã hội là nội dung thể hiện",Multiple Choice,ý nghĩa của việc nghiên cứu chủ nghĩa xã hội khoa học.,nội dung của chủ nghĩa xã hội khoa học.,sứ mệnh của giai cấp công nhân Việt Nam.,sứ mệnh của giai cấp công nhân quốc tế.,,1,30,
"Nội dung nào dưới đây là phạm trù trung tâm, là nguyên lí xuất phát của chủ nghĩa xã hội khoa học?",Multiple Choice,Chủ nghĩa xã hội và thời kì quá độ lên chủ nghĩa xã hội.,Dân chủ xã hội chủ nghĩa và nhà nước xã hội chủ nghĩa.,Sứ mệnh lịch sử thế giới của giai cấp công nhân.,Vấn đề dân tộc trong thời kì quá độ lên chủ nghĩa xã hội.,,3,30,
Giai cấp nào dưới đây là con đẻ của nền đại công nghiệp tư bản chủ nghĩa?,Multiple Choice,Giai cấp tư sản.,Giai cấp công nhân.,Giai cấp địa chủ.,Giai cấp nông dân.,,2,30,
Lao động trực tiếp hoặc gián tiếp vận hành các công cụ sản xuất có tính chất công nghiệp ngày càng hiện đại và xã hội hóa cao là nội dung thể hiện,Multiple Choice,công cụ lao động của người công nhân.,phương thức lao động của người công nhân.,vị trí trong quan hệ sản xuất tư bản chủ nghĩa của người công nhân.,địa vị xã hội của người công nhân.,,2,30,
"Về vị trí trong quan hệ sản xuất tư bản chủ nghĩa, công nhân là những người lao động",Multiple Choice,không sở hữu tư liệu sản xuất chủ yếu của xã hội.,có sở hữu tư liệu sản xuất là sức lao động.,có sở hữu tư liệu sản xuất là kinh nghiệm cá nhân.,không sở hữu bất cứ tư liệu sản xuất nào của xã hội.,,1,30,
"""Các giai cấp khác đều suy tàn và tiêu vong cùng với sự phát triển của đại công nghiệp, còn giai cấp vô sản là sản phẩm của bản thân nền đại công nghiệp"" là luận điểm của",Multiple Choice,C. Mác và Ph. Ăngghen.,C. Mác.,Ph. Ăngghen.,V.I. Lênin.,,1,30,
"Giai cấp, tầng lớp nào dưới đây không sở hữu tư liệu sản xuất chủ yếu, phải bán sức lao động cho nhà tư bản và bị nhà tư bản bóc lột giá trị thặng dư?",Multiple Choice,Trí thức.,Doanh nhân.,Tiểu tư sản.,Công nhân.,,4,30,
"Giai cấp, tầng lớp nào dưới đây chỉ có thể sống với điều kiện là kiếm được việc làm và chỉ kiếm được việc làm nếu lao động của họ làm tăng thêm tư bản?",Multiple Choice,Nông dân.,Địa chủ.,Công nhân.,Tư sản.,,3,30,
"Lực lượng nào dưới đây buộc phải tự bán mình để kiếm ăn từng bữa, là một hàng hóa, tức là một món hàng đem bán như bất cứ món hàng nào khác, vì thế, họ phải chịu hết mọi sự may rủi của cạnh tranh, mọi sự lên xuống của thị trường?",Multiple Choice,Nông dân.,Người làm nghề tự do.,Công nhân.,Tiểu tư sản.,,3,30,
Nội dung nào dưới đây là nguồn gốc cơ bản của giá trị thặng dư và sự giàu có của giai cấp tư sản?,Multiple Choice,Lao động sống của giai cấp công nhân.,"Quá trình trao đổi, mua bán.",Hoạt động thương mại.,Kinh tế thị trường.,,1,30,
Giai cấp công nhân lao động bằng phương thức công nghiệp với đặc trưng công cụ lao động là,Multiple Choice,ruộng đất.,"con trâu, cái cày.",máy móc có tính chất công nghiệp.,trí óc.,,3,30,
"Giai cấp nào dưới đây là sản phẩm của bản thân nền đại công nghiệp, là chủ thể của quá trình sản xuất vật chất hiện đại?",Multiple Choice,Giai cấp chủ nô.,Giai cấp địa chủ.,Giai cấp tư sản.,Giai cấp công nhân.,,4,30,
"Lực lượng nào dưới đây là đại biểu cho lực lượng sản xuất tiên tiến, cho phương thức sản xuất tiên tiến, quyết định sự tồn tại và phát triển của xã hội hiện đại?",Multiple Choice,Giai cấp nông dân.,Đội ngũ trí thức.,Giai cấp tư sản.,Giai cấp công nhân.,,4,30,
"Nền sản xuất đại công nghiệp và phương thức sản xuất tiên tiến đã rèn luyện cho giai cấp công nhân những phẩm chất đặc biệt về tính tổ chức, kỉ luật lao động, tinh thần hợp tác và",Multiple Choice,tâm lí lao động công nghiệp.,tác phong nông nghiệp.,tâm lí lao động nông nghiệp.,tâm lí lao động tự do.,,1,30,
Mâu thuẫn giữa lực lượng sản xuất mang tính xã hội hóa ngày càng cao với quan hệ sản xuất dựa trên chế độ chiếm hữu tư nhân tư bản chủ nghĩa về tư liệu sản xuất chủ yếu là mâu thuẫn cơ bản của phương thức sản xuất nào dưới đây?,Multiple Choice,Chiếm hữu nô lệ.,Phong kiến.,Tư bản chủ nghĩa.,Cộng sản chủ nghĩa.,,3,30,
Biểu hiện về mặt xã hội của mâu thuẫn cơ bản trong phương thức sản xuất tư bản chủ nghĩa là mâu thuẫn giữa,Multiple Choice,tư bản và lao động.,lực lượng sản xuất và quan hệ sản xuất.,giai cấp công nhân và giai cấp tư sản.,các tập đoàn tư bản.,,3,30,
Mâu thuẫn giữa giai cấp công nhân và giai cấp tư sản là mâu thuẫn,Multiple Choice,đối kháng trực tiếp về lợi ích.,không đối kháng về lợi ích.,về lợi ích không cơ bản.,đối kháng gián tiếp về lợi ích.,,1,30,
Giữa giai cấp công nhân và giai cấp nông dân có,Multiple Choice,toàn bộ lợi ích thống nhất với nhau.,nhiều lợi ích cơ bản thống nhất với nhau.,lợi ích hoàn toàn khác nhau.,lợi ích hoàn toàn đối lập nhau.,,2,30,
Quan điểm nào dưới đây không đúng về giai cấp công nhân?,Multiple Choice,Giai cấp công nhân là giai cấp không đại diện cho quan hệ sản xuất tiên tiến.,"Giai cấp công nhân là một tập đoàn xã hội ổn định, hình thành và phát triển cùng với quá trình phát triển của nền công nghiệp hiện đại.",Giai cấp công nhân là lực lượng chủ yếu của tiến trình lịch sử quá độ từ chủ nghĩa tư bản lên chủ nghĩa xã hội.,Giai cấp công nhân là chủ thể của quá trình sản xuất vật chất hiện đại.,,1,30,
Phát biểu nào dưới đây không đúng về giai cấp công nhân?,Multiple Choice,"Giai cấp công nhân là người làm thuê do không có tư liệu sản xuất, buộc phải bán sức lao động để sống, không bị giai cấp tư sản bóc lột giá trị thặng dư.","Giai cấp công nhân là người làm thuê do không có tư liệu sản xuất, buộc phải bán sức lao động để sống và bị giai cấp tư sản bóc lột giá trị thặng dư.",Lợi ích cơ bản của giai cấp công nhân đối lập với lợi ích cơ bản của giai cấp tư sản.,"Giai cấp công nhân là giai cấp có sứ mệnh phủ định chế độ tư bản chủ nghĩa, xây dựng thành công chủ nghĩa xã hội và chủ nghĩa cộng sản trên toàn thế giới.",,1,30,
Phát biểu nào dưới đây không phải là đặc điểm của giai cấp công nhân mang sứ mệnh lịch sử thế giới?,Multiple Choice,Giai cấp công nhân là giai cấp đại diện cho lực lượng sản xuất tiến bộ của thời đại.,Giai cấp công nhân là lực lượng đông đảo và tiên phong.,Giai cấp công nhân là lực lượng đại diện cho khuynh hướng tiến bộ của nhân loại.,Giai cấp công nhân là lực lượng tiến bộ nhưng chỉ bảo vệ lợi ích cho giai cấp mình.,,4,30,
Nội dung nào dưới đây không phải là sứ mệnh lịch sử thế giới của giai cấp công nhân?,Multiple Choice,"Xoá bỏ tận gốc chế độ người bóc lột người, giải phóng cho giai cấp tư sản.",Giải phóng cho giai cấp công nhân và toàn thể nhân loại bị áp bức.,"Xoá bỏ tận gốc chế độ người bóc lột người, xoá bỏ chủ nghĩa tư bản.",Xây dựng xã hội cộng sản chủ nghĩa văn minh.,,1,30,
Mục tiêu nào dưới đây là mục tiêu lớn nhất mà giai cấp công nhân thực hiện?,Multiple Choice,Xoá bỏ tận gốc chế độ tư bản chủ nghĩa.,Xoá bỏ tận gốc chế độ người bóc lột người.,Xoá bỏ tận gốc chế độ phong kiến.,Xoá bỏ tận gốc chế độ nô lệ làm thuê.,,2,30,
Quan điểm nào sau đây phản ánh đúng về việc xoá bỏ hình thái kinh tế - xã hội tư bản chủ nghĩa?,Multiple Choice,Xoá bỏ cả quan hệ sản xuất bóc lột và lực lượng sản xuất trong chủ nghĩa tư bản.,Xoá bỏ lực lượng sản xuất và kế thừa thành tựu tiến bộ về quan hệ sản xuất trong chủ nghĩa tư bản.,Xoá bỏ quan hệ sản xuất bóc lột và kế thừa thành tựu tiến bộ về lực lượng sản xuất trong chủ nghĩa tư bản.,Xoá bỏ văn hóa và tư tưởng bóc lột trong chủ nghĩa tư bản.,,3,30,
"Trong chủ nghĩa tư bản, mục tiêu của công nhân là xoá bỏ quan hệ sản xuất dựa trên chế độ",Multiple Choice,công hữu về tư liệu sản xuất chủ yếu.,sở hữu chung về tư liệu sản xuất chủ yếu.,sở hữu công cộng về tư liệu sản xuất chủ yếu.,sở hữu tư nhân tư bản chủ nghĩa về tư liệu sản xuất chủ yếu.,,4,30,
"Muốn thực hiện sứ mệnh lịch sử thế giới của mình, giai cấp công nhân phải",Multiple Choice,"lật đổ sự thống trị của giai cấp vô sản, giành chính quyền về tay giai cấp mình, thiết lập nhà nước, cải tạo xã hội cũ, xây dựng xã hội mới.","lật đổ sự thống trị của giai cấp tiểu tư sản, giành chính quyền về tay giai cấp mình, cải tạo xã hội cũ, xây dựng xã hội mới.","lật đổ sự thống trị của bộ phận đại tư sản, giành chính quyền về tay giai cấp mình, cải tạo xã hội cũ, xây dựng xã hội mới.","lật đổ sự thống trị của giai cấp tư sản, giành chính quyền về tay giai cấp mình, thiết lập nhà nước chuyên chính vô sản, cải tạo xã hội cũ, xây dựng xã hội mới.",,4,30,
"Để thực hiện sứ mệnh lịch sử của mình, bước đầu tiên giai cấp công nhân phải làm là",Multiple Choice,"xoá bỏ sự bóc lột đem lại hạnh phúc, ấm no cho nhân dân.","cải tạo xã hội cũ, xây dựng thành công xã hội mới - xã hội cộng sản chủ nghĩa.","liên minh với nông dân, giải phóng cho loài người.","giành chính quyền, thiết lập được nhà nước của giai cấp mình.",,4,30,
"Xoá bỏ quan hệ sản xuất dựa trên chế độ chiếm hữu tư nhân tư bản về tư liệu sản xuất chủ yếu, xây dựng quan hệ sản xuất mới, phù hợp với tính chất xã hội hóa cao của lực lượng sản xuất, với chế độ công hữu về tư liệu sản xuất chủ yếu của xã hội là nhiệm vụ của giai cấp công nhân trên lĩnh vực",Multiple Choice,chính trị - xã hội.,kinh tế.,văn hóa.,tư tưởng.,,2,30,
"Thực hiện công nghiệp hóa, gắn liền công nghiệp hóa với hiện đại hóa, đẩy mạnh công nghiệp hóa gắn với phát triển kinh tế tri thức, bảo vệ tài nguyên, môi trường là nhiệm vụ của giai cấp công nhân trên lĩnh vực",Multiple Choice,chính trị - xã hội.,kinh tế.,văn hóa.,tư tưởng.,,2,30,
"Lật đổ quyền thống trị của giai cấp tư sản, giành quyền lực về tay giai cấp công nhân và nhân dân lao động, thiết lập nhà nước mang bản chất giai cấp công nhân, xây dựng nền dân chủ xã hội chủ nghĩa, thực hiện quyền lực của nhân dân, quyền dân chủ và làm chủ xã hội của tuyệt đại đa số nhân dân lao động là nhiệm vụ của giai cấp công nhân trên lĩnh vực",Multiple Choice,kinh tế.,văn hóa.,chính trị - xã hội.,tư tưởng.,,3,30,
"Sử dụng nhà nước của mình để cải tạo xã hội cũ và tổ chức xây dựng xã hội mới, phục vụ quyền và lợi ích của nhân dân lao động theo lí tưởng và mục tiêu của chủ nghĩa xã hội là nhiệm vụ của giai cấp công nhân trên lĩnh vực",Multiple Choice,kinh tế.,văn hóa.,chính trị - xã hội.,tư tưởng.,,3,30,
Xây dựng hệ giá trị mới: lao động; công bằng; dân chủ; bình đẳng và tự do là nhiệm vụ của giai cấp công nhân trên lĩnh vực,Multiple Choice,"văn hóa, tư tưởng.",kinh tế.,chính trị.,xã hội.,,1,30,
