Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link
Việc thực hiện chức năng tái sản xuất ra con người không chỉ là việc riêng của gia đình mà là vấn đề xã hội vì thực hiện chức năng này quyết định,Multiple Choice,"quy mô dân số, mật độ dân cư, chất lượng nguồn lao động.","quy mô dân số, mật độ dân cư, chất lượng cuộc sống người lao động.","tỉ lệ gia tăng dân số, chất lượng nguồn lao động của mỗi quốc gia.","mật độ dân cư, chất lượng nguồn lao động của mỗi quốc gia.",,1,30,
"Chức năng nào dưới đây thể hiện tình cảm thiêng liêng, trách nhiệm của cha mẹ với con cái, đồng thời thể hiện trách nhiệm của gia đình với xã hội?",Multiple Choice,"Thoả mãn nhu cầu tâm - sinh lí, duy trì tình cảm gia đình.","Nuôi dưỡng, giáo dục.",Kinh tế và tổ chức tiêu dùng.,Tái sản xuất ra con người.,,2,30,
"Chức năng nào dưới đây của gia đình có ý nghĩa rất quan trọng tới việc hình thành nhân cách, đạo đức, lối sống của mỗi người?",Multiple Choice,"Nuôi dưỡng, giáo dục.","Thoả mãn nhu cầu tâm - sinh lí, duy trì tình cảm gia đình.",Kinh tế và tổ chức tiêu dùng.,Tái sản xuất ra con người.,,1,30,
"Gia đình thực hiện chức năng nào dưới đây để góp phần to lớn vào việc đào tạo thế hệ trẻ, nâng cao chất lượng nguồn lao động?",Multiple Choice,"Thoả mãn nhu cầu tâm - sinh lí, duy trì tình cảm gia đình.",Kinh tế và tổ chức tiêu dùng.,"Nuôi dưỡng, giáo dục.",Tái sản xuất ra con người.,,3,30,
"Thực hiện chức năng nào dưới đây của gia đình đòi hỏi cha mẹ phải có kiến thức cơ bản, tương đối toàn diện về mọi mặt?",Multiple Choice,"Nuôi dưỡng, giáo dục.","Thoả mãn nhu cầu tâm - sinh lí, duy trì tình cảm gia đình.",Kinh tế và tổ chức tiêu dùng.,Tái sản xuất ra con người.,,1,30,
"Xét ở chức năng kinh tế và tổ chức tiêu dùng, gia đình có đặc thù nào dưới đây mà các đơn vị kinh tế khác không có được?",Multiple Choice,"Tham gia trực tiếp vào quá trình sản xuất, tái sản xuất ra tư liệu lao động.",Tham gia vào quá trình sản xuất và tái sản xuất ra sức lao động.,"Tham gia trực tiếp vào quá trình sản xuất, tái sản xuất ra tư liệu sản xuất.","Tham gia trực tiếp vào quá trình sản xuất, tái sản xuất ra tư liệu tiêu dùng.",,4,30,
"Việc sử dụng hợp lí các khoản thu nhập vào việc đảm bảo đời sống vật chất và tinh thần của mỗi thành viên, cùng với việc sử dụng quỹ thời gian rảnh rỗi để tạo nên đời sống tinh thần, thể chất lành mạnh là nội dung của chức năng",Multiple Choice,tổ chức tiêu dùng của gia đình.,tổ chức sản xuất của gia đình.,tổ chức đời sống tinh thần của gia đình.,tổ chức các mối quan hệ xã hội của gia đình.,,1,30,
"Gia đình đảm bảo nguồn sống, đáp ứng nhu cầu vật chất, tinh thần của các thành viên trong gia đình là nội dung của chức năng",Multiple Choice,đảm bảo đời sống vật chất và tinh thần.,thoả mãn mọi mặt đời sống gia đình.,kinh tế và tổ chức tiêu dùng.,"nuôi dưỡng, giáo dục.",,3,30,
"Chức năng nào dưới đây tạo cho gia đình cơ sở để tổ chức tốt đời sống, nuôi dạy con cái, đóng góp to lớn đối với sự phát triển xã hội?",Multiple Choice,Đảm bảo đời sống gia đình và phát triển xã hội.,"Thoả mãn nhu cầu tâm - sinh lí, duy trì tình cảm gia đình.",Kinh tế và tổ chức tiêu dùng.,"Nuôi dưỡng, giáo dục.",,3,30,
"Chức năng nào dưới đây của gia đình có nhiệm vụ thoả mãn nhu cầu tình cảm, văn hóa, tinh thần cho các thành viên, đảm bảo sự cân bằng tâm lí, bảo vệ chăm sóc sức khoẻ người ốm, người già, trẻ em?",Multiple Choice,Thoả mãn nhu cầu tâm - sinh lí.,"Thoả mãn nhu cầu tâm - sinh lí, duy trì tình cảm gia đình.","Thoả mãn nhu cầu tình cảm, đời sống vật chất.",Thoả mãn đời sống vật chất và tinh thần.,,2,30,
Cơ sở kinh tế - xã hội để xây dựng gia đình trong thời kì quá độ lên chủ nghĩa xã hội là sự phát triển của,Multiple Choice,lực lượng sản xuất và quan hệ sản xuất xã hội chủ nghĩa.,"nền kinh tế nhiều thành phần, định hướng xã hội chủ nghĩa.",nền kinh tế thị trường định hướng xã hội chủ nghĩa.,lực lượng sản xuất gắn với công cụ lao động hiện đại.,,1,30,
"Ý nào dưới đây là nguyên nhân sâu xa gây nên tình trạng thống trị của người đàn ông trong gia đình, sự bất bình đẳng nam nữ, giữa vợ và chồng, sự nô dịch với phụ nữ?",Multiple Choice,Chế độ công hữu về tư liệu sản xuất.,Chế độ đa thê.,Chế độ tư hữu về tư liệu sản xuất.,Chế độ một vợ một chồng.,,3,30,
Sự thống trị của người đàn ông trong gia đình là kết quả của,Multiple Choice,sự thống trị của họ về văn hóa.,sự thống trị của họ về kinh tế.,những quy định trong gia đình.,những hủ tục lạc hậu.,,2,30,
Việc thiết lập chính quyền nhà nước của giai cấp công nhân và nhân dân lao động nhằm xây dựng gia đình trong thời kì quá độ lên chủ nghĩa xã hội là nội dung của cơ sở,Multiple Choice,chính trị.,văn hóa.,xã hội.,kinh tế.,,1,30,
"Ở Việt Nam, tổ chức nào dưới đây là công cụ hữu hiệu nhất xoá bỏ những hủ tục lạc hậu, giải phóng phụ nữ và bảo vệ hạnh phúc gia đình?",Multiple Choice,Đảng Cộng sản.,Hội Liên hiệp Phụ nữ.,Nhà nước.,Đoàn Thanh niên Cộng sản.,,3,30,
"Nội dung nào dưới đây thể hiện rõ nhất vai trò của nhà nước xã hội chủ nghĩa trong việc đảm bảo lợi ích công dân, lợi ích của các thành viên trong gia đình, đảm bảo sự bình đẳng giới, chính sách dân số?",Multiple Choice,Phát triển kinh tế.,Ổn định tình hình chính trị - xã hội.,Xây dựng hệ thống pháp luật và nâng cao đời sống tinh thần.,Xây dựng hệ thống pháp luật và hệ thống chính sách xã hội.,,4,30,
Phát triển lực lượng sản xuất và quan hệ sản xuất tương ứng - quan hệ sản xuất mới xã hội chủ nghĩa là cơ sở để xây dựng gia đình trong thời kì quá độ lên chủ nghĩa xã hội ở lĩnh vực nào dưới đây?,Multiple Choice,Chính trị - xã hội.,Văn hóa.,Kinh tế - xã hội.,Tâm lí.,,3,30,
"Hôn nhân tự nguyện, một vợ một chồng bình đẳng, được đảm bảo về pháp lí là biểu hiện của",Multiple Choice,chế độ hôn nhân tiến bộ.,hôn nhân được pháp luật thừa nhận.,hôn nhân tự nguyện.,hôn nhân bình đẳng.,,1,30,
Hôn nhân tự nguyện là hôn nhân xuất phát từ,Multiple Choice,sự thoả mãn về kinh tế.,tình yêu.,sự đồng ý của bố mẹ hai bên.,sự ủng hộ của những người xung quanh.,,2,30,
Nam nữ được đảm bảo quyền tự do trong việc lựa chọn người kết hôn là biểu hiện của,Multiple Choice,hôn nhân tự nguyện.,hôn nhân bình đẳng.,hôn nhân được pháp luật thừa nhận.,hôn nhân tích cực.,,1,30,
Nguyên nhân nào sau đây giữ vai trò quyết định nhất tới sự xuất hiện của hôn nhân một vợ một chồng trong lịch sử xã hội loài người?,Multiple Choice,Sự thắng lợi của chế độ tư hữu đối với chế độ công hữu nguyên thuỷ.,Sự thắng lợi của những tư tưởng tiến bộ.,Sự xuất hiện của các tổ chức bảo vệ quyền lợi của người phụ nữ.,"Vị trí, vai trò của người phụ nữ trong xã hội được thừa nhận.",,1,30,
Vợ và chồng đều có quyền lợi và nghĩa vụ như nhau về mọi vấn đề của cuộc sống gia đình là biểu hiện của,Multiple Choice,hôn nhân tự nguyện.,vợ chồng bình đẳng.,tình yêu.,tự do kết hôn.,,2,30,
Hôn nhân được đảm bảo về mặt pháp lí là hôn nhân,Multiple Choice,được tổ chức với sự chứng kiến của mọi người.,tự nguyện trên cơ sở tình yêu nam nữ.,được pháp luật thừa nhận thông qua việc đăng kí kết hôn.,được hai bên gia đình đồng ý.,,3,30,
"Yếu tố nào dưới đây giữ vai trò quyết định tới việc thúc đẩy tăng trưởng về kinh tế, tăng thu nhập của cá nhân, là cơ sở cho việc củng cố và duy trì bền vững của gia đình ở Việt Nam?",Multiple Choice,"Trình độ dân trí ngày càng được nâng cao, nghề nghiệp ngày càng đa dạng.","Tình cảm gắn bó giữa các thành viên trong gia đình, mọi người đều có công việc ổn định.","Con cái được học hành đầy đủ, các thành viên đều được tạo điều kiện phát triển, cơ hội việc làm ngày càng cao.",Nền kinh tế thị trường định hướng xã hội chủ nghĩa ngày càng phát triển.,,4,30,
Biểu hiện nào dưới đây không là tác động tiêu cực của kinh tế thị trường định hướng xã hội chủ nghĩa tới gia đình ở Việt Nam?,Multiple Choice,Tăng thu nhập của cá nhân trong gia đình.,Sự phân hóa giàu nghèo giữa các gia đình ngày càng tăng.,"Ngoại tình, li hôn có chiều hướng ngày càng phát triển.","Trẻ em nghỉ học sớm, tham gia vào thị trường lao động.",,1,30,
Nội dung nào dưới đây là mục tiêu về xây dựng gia đình mà Đại hội đại biểu toàn quốc lần thứ XII của Đảng Cộng sản Việt Nam đã đề ra?,Multiple Choice,"Xây dựng gia đình no ấm, tiến bộ, hạnh phúc, văn minh.","Xây dựng gia đình hạnh phúc, kinh tế phát triển.","Xây dựng gia đình bình đẳng, hạnh phúc, no ấm, tiến bộ, văn minh.","Xây dựng gia đình ấm no, tự do, hạnh phúc.",,1,30,
"Nội dung nào dưới đây là mục tiêu mà “Chiến lược phát triển gia đình Việt Nam đến năm 2020, tầm nhìn 2030” đã đề ra?",Multiple Choice,"Xây dựng gia đình Việt Nam no ấm, tiến bộ, hạnh phúc, thực sự là tổ ấm của mỗi người, là tế bào lành mạnh của xã hội.","Xây dựng gia đình Việt Nam kinh tế no ấm, văn minh, tiến bộ, hạnh phúc, thực sự là tổ ấm của mỗi người, là tế bào lành mạnh của xã hội.","Xây dựng gia đình Việt Nam bình đẳng, tiến bộ, hạnh phúc, thực sự là tổ ấm của mỗi người, là tế bào lành mạnh của xã hội.","Xây dựng gia đình Việt Nam no ấm, tiến bộ, hạnh phúc, thực sự là tổ ấm của mỗi người.",,1,30,
Ngày Gia đình Việt Nam là ngày,Multiple Choice,28/5.,26/6.,28/6.,26/8.,,3,30,
Luật Hôn nhân và Gia đình ban hành năm 2000 ở Việt Nam được sửa đổi vào năm,Multiple Choice,2014.,2007.,2012.,2015.,,1,30,
"Luật Phòng, chống bạo lực gia đình hiện hành của Việt Nam có hiệu lực thi hành năm",Multiple Choice,2006.,2007.,2008.,2009.,,3,30,
“Gia đình đơn” còn được gọi bằng tên nào dưới đây?,Multiple Choice,Gia đình tập thể.,Gia đình hạt nhân.,Gia đình ba thế hệ.,Gia đình nhiều thế hệ.,,2,30,
Gia đình có ba thế hệ cùng chung sống dưới một mái nhà được gọi là,Multiple Choice,tam đại đồng đường.,gia đình tập thể.,tứ đại đồng đường.,gia đình hạt nhân.,,1,30,
Gia đình có bốn thế hệ cùng chung sống dưới một mái nhà được gọi là,Multiple Choice,tứ đại đồng đường.,gia đình hạt nhân.,tam đại đồng đường.,ngũ đại đồng đường.,,1,30,
Quy mô gia đình Việt Nam hiện nay có xu hướng,Multiple Choice,ngày càng đa dạng.,ngày càng nhiều thế hệ.,ngày càng thu nhỏ.,ngày càng phức tạp.,,3,30,
Loại hình gia đình phổ biến nhất ở Việt Nam hiện nay là,Multiple Choice,tam đại đồng đường.,gia đình hạt nhân.,tứ đại đồng đường.,gia đình đơn thân.,,2,30,
"Để đảm bảo lợi ích của gia đình và sự phát triển bền vững của xã hội, thông điệp mới trong kế hoạch hóa gia đình của Việt Nam hiện nay là",Multiple Choice,mỗi gia đình chỉ nên có từ 1 đến 2 con.,mỗi gia đình chỉ nên sinh 1 con.,mỗi gia đình nên sinh đủ 2 con.,gia đình có điều kiện nuôi dưỡng có thể sinh 3 con.,,3,30,
Biểu hiện nào dưới đây thể hiện đầy đủ nhất sự tiến bộ trong việc thực hiện chức năng tái sản xuất ra con người của gia đình Việt Nam hiện nay?,Multiple Choice,"Giảm mức sinh của phụ nữ, tăng số con mong muốn, không nhất định phải có con trai.","Giảm nhu cầu nhất thiết phải có con trai, người phụ nữ không nhất định phải sinh con.","Tăng số con mong muốn, giảm nhu cầu nhất thiết phải có con trai.","Giảm mức sinh của phụ nữ, giảm số con mong muốn, giảm nhu cầu nhất thiết phải có con trai.",,4,30,
Từ một đơn vị kinh tế khép kín sản xuất để đáp ứng nhu cầu của gia đình thành đơn vị mà sản xuất chủ yếu để đáp ứng nhu cầu của người khác hay của xã hội là biểu hiện của sự biến đổi trong gia đình về chức năng,Multiple Choice,kinh tế và tổ chức tiêu dùng.,tổ chức tiêu dùng.,sản xuất.,chính trị - xã hội.,,1,30,
"Trong kinh tế thị trường hiện đại, nguyên nhân cơ bản nhất dẫn đến kinh tế gia đình gặp rất nhiều khó khăn, trở ngại trong việc chuyển hướng sản xuất kinh doanh hàng hóa theo hướng chuyên sâu là do",Multiple Choice,"kinh tế gia đình phần lớn có quy mô nhỏ, lao động ít và tự sản xuất là chính.","trình độ của người lao động còn thấp, kinh tế gia đình quy mô lớn, khó quản lí.","người lao động vẫn mang tác phong nông nghiệp, tư duy tiểu nông, kinh nghiệm quản lí còn hạn chế.","cơ chế quản lí còn nhiều bất cập, thủ tục hành chính còn phức tạp.",,1,30,
Nguyên nhân nào dưới đây giữ vai trò quyết định làm cho gia đình trở thành một đơn vị tiêu dùng quan trọng của xã hội?,Multiple Choice,Sự phát triển của kinh tế hàng hóa và nguồn thu nhập bằng tiền của gia đình ngày càng tăng lên.,"Chi tiêu hợp lí, tăng cường tiết kiệm, nguồn thu nhập bằng tiền của gia đình ngày càng eo hẹp.","Hàng hóa ngày càng phong phú, đa dạng, đáp ứng tốt yêu cầu của người tiêu dùng.","Sản xuất hàng hóa phát triển, giao thương được đẩy mạnh, nguồn tiền cho chi dùng hàng ngày có chiều hướng tăng lên.",,1,30,
"Giáo dục trong gia đình Việt Nam hiện nay bao gồm giáo dục đạo đức, giáo dục kiến thức khoa học hiện đại, trang bị công cụ để con cái hoà nhập với thế giới là nội dung thể hiện tính chất nào trong nội dung giáo dục của gia đình Việt Nam hiện nay?",Multiple Choice,Tính toàn diện.,Tính lịch sử.,Tính logic.,Tính phiến diện.,,1,30,
Nội dung nào dưới đây mô tả đầy đủ nhất về những hạn chế trong quan hệ quan hệ vợ chồng ở Việt Nam hiện nay?,Multiple Choice,"Thiếu bình đẳng, vai trò của người phụ nữ chưa thực sự được thừa nhận.","Lỏng lẻo, gia tăng tỉ lệ li hôn, li thân, ngoại tình, chung sống không kết hôn.","Lỏng lẻo, bất bình đẳng trong quan hệ vợ, chồng vẫn diễn ra ở nhiều gia đình.","Lỏng lẻo, bạo lực gia đình ngày càng tăng, tỉ lệ li hôn ngày càng cao.",,2,30,
"Hiện nay, nguy cơ nào dưới đây là phổ biến nhất mà người cao tuổi trong gia đình ở Việt Nam phải đối mặt?",Multiple Choice,Thiếu thốn về vật chất.,Thiếu thốn về tình cảm.,Thiếu thốn về thời gian.,Thiếu thốn về các sản phẩm giải trí.,,2,30,
Nội dung nào dưới đây không phải là phương hướng cơ bản xây dựng và phát triển gia đình Việt Nam trong thời kì quá độ lên chủ nghĩa xã hội?,Multiple Choice,"Tăng cường sự lãnh đạo của Đảng, nâng cao nhận thức của xã hội về xây dựng và phát triển gia đình Việt Nam.","Đẩy mạnh phát triển kinh tế - xã hội, nâng cao đời sống vật chất, kinh tế hộ gia đình.",Tăng cường vai trò của các tổ chức quốc tế nhằm giáo dục thanh niên về xây dựng gia đình hạnh phúc.,Tiếp tục phát triển và nâng cao chất lượng phong trào xây dựng gia đình văn hóa.,,3,30,
"Gia đình ấm no, hoà thuận, tiến bộ, khoẻ mạnh và hạnh phúc, thực hiện tốt nghĩa vụ công dân, thực hiện kế hoạch hóa gia đình, đoàn kết tương trợ trong cộng đồng dân cư là tiêu chuẩn của",Multiple Choice,gia đình truyền thống.,gia đình giàu có.,gia đình văn hóa.,gia đình hiện đại.,,3,30,
