Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link
Nội dung nào dưới đây là tiền đề khoa học tự nhiên cho sự ra đời của chủ nghĩa xã hội khoa học?,Multiple Choice,Triết học cổ điển Đức.,Kinh tế chính trị cổ điển Anh.,Học thuyết tiến hóa của Darwin.,Chủ nghĩa xã hội không tưởng Pháp.,,3,30,
Nội dung nào dưới đây là tiền đề khoa học tự nhiên cho sự ra đời của chủ nghĩa xã hội khoa học?,Multiple Choice,Định luật bảo toàn và chuyển hóa năng lượng.,Định luật chuyển động Newton.,Định luật quán tính.,Định luật hấp dẫn.,,1,30,
Nội dung nào dưới đây là tiền đề khoa học tự nhiên cho sự ra đời của chủ nghĩa xã hội khoa học?,Multiple Choice,Định luật chuyển động Newton.,Học thuyết tế bào.,Định luật quán tính.,Thuyết trường lượng tử.,,2,30,
Nội dung nào dưới đây không phải là tiền đề khoa học tự nhiên cho sự ra đời của chủ nghĩa xã hội khoa học?,Multiple Choice,Thuyết tương đối đặc biệt.,Định luật bảo toàn và chuyển hóa năng lượng.,Học thuyết tiến hóa của Darwin.,Học thuyết tế bào.,,1,30,
Nội dung nào dưới đây là tiền đề tư tưởng lí luận cho sự ra đời của chủ nghĩa xã hội khoa học?,Multiple Choice,Kinh tế chính trị cổ điển Anh.,Triết học hiện sinh.,Học thuyết tiến hóa của Darwin.,Chủ nghĩa thực chứng logic.,,1,30,
Nội dung nào dưới đây là tiền đề tư tưởng lí luận cho sự ra đời của chủ nghĩa xã hội khoa học?,Multiple Choice,Triết học cổ điển Đức.,Triết học Tây Âu trung cổ.,Triết học hiện sinh.,Triết học phương Tây hiện đại.,,1,30,
Nội dung nào dưới đây là tiền đề tư tưởng lí luận cho sự ra đời của chủ nghĩa xã hội khoa học?,Multiple Choice,Chủ nghĩa xã hội không tưởng Pháp.,Chủ nghĩa thực chứng logic.,Học thuyết tiến hóa của Darwin.,Chủ nghĩa kinh nghiệm tự nhiên.,,1,30,
Nội dung nào dưới đây không phải là tiền đề tư tưởng lí luận cho sự ra đời của chủ nghĩa xã hội khoa học?,Multiple Choice,Triết học cổ điển Đức.,Chủ nghĩa xã hội không tưởng Pháp.,Kinh tế chính trị cổ điển Anh.,Định luật chuyển động Newton.,,4,30,
"Tác phẩm nào dưới đây thể hiện rõ sự chuyển biến tư tưởng của C. Mác từ thế giới quan duy tâm sang thế giới quan duy vật, từ lập trường dân chủ cách mạng sang lập trường cộng sản chủ nghĩa?",Multiple Choice,Góp phần phê phán triết học pháp quyền của Hêghen — Lời nói đầu.,Tình cảnh giai cấp công nhân Anh.,Lược khảo khoa kinh tế — chính trị.,Bộ Tư bản.,,1,30,
"Tác phẩm nào dưới đây thể hiện rõ sự chuyển biến tư tưởng của Ph. Ăngghen từ thế giới quan duy tâm sang thế giới quan duy vật, từ lập trường dân chủ cách mạng sang lập trường cộng sản chủ nghĩa?",Multiple Choice,Tình cảnh giai cấp công nhân Anh.,Góp phần phê phán Triết học pháp quyền của Hêghen - Lời nói đầu.,Bản thảo kinh tế triết học năm 1844.,Bộ Tư bản.,,1,30,
"Tác phẩm nào dưới đây thể hiện rõ sự chuyển biến tư tưởng của Ph. Ăngghen từ thế giới quan duy tâm sang thế giới quan duy vật, từ lập trường dân chủ cách mạng sang lập trường cộng sản chủ nghĩa?",Multiple Choice,Lược khảo khoa kinh tế — chính trị.,Bộ Tư bản.,Góp phần phê phán Triết học pháp quyền của Hêghen - Lời nói đầu.,Bản thảo kinh tế triết học năm 1844.,,1,30,
"Từ 1843 đến 1848, C. Mác và Ph. Ăngghen cho ra đời nhiều tác phẩm lớn, đánh dấu sự chuyển biến tư tưởng",Multiple Choice,"từ thế giới quan duy tâm sang thế giới quan duy vật, từ lập trường dân chủ cách mạng sang lập trường cộng sản chủ nghĩa.","từ thế giới quan duy vật sang thế giới quan duy tâm, từ lập trường dân chủ cách mạng sang lập trường cộng sản chủ nghĩa.","từ thế giới quan duy vật sang thế giới quan duy tâm, từ lập trường cộng sản chủ nghĩa sang lập trường dân chủ cách mạng.","từ thế giới quan duy tâm sang thế giới quan duy vật, từ lập trường cộng sản chủ nghĩa sang lập trường dân chủ cách mạng.",,1,30,
"Học thuyết nào dưới đây của C. Mác và Ph. Ăngghen có nội dung cơ bản là lí luận về hình thái kinh tế - xã hội, là cơ sở về mặt triết học để nghiên cứu xã hội tư bản chủ nghĩa, khẳng định sự sụp đổ của chủ nghĩa tư bản và thắng lợi của chủ nghĩa xã hội, chủ nghĩa cộng sản là tất yếu như nhau?",Multiple Choice,Học thuyết duy vật lịch sử.,Học thuyết duy vật biện chứng.,Học thuyết giá trị thặng dư.,Học thuyết về sứ mệnh lịch sử thế giới của giai cấp công nhân.,,1,30,
"Học thuyết nào dưới đây của C. Mác và Ph. Ăngghen chỉ rõ bản chất của chế độ làm thuê trong chế độ tư bản, đã chứng minh một cách khoa học về loại ""hàng hóa đặc biệt"", hàng hóa sức lao động của công nhân mà nhà tư bản đã mua và có những thủ đoạn tinh vi để chiếm đoạt giá trị mới do nó sinh ra?",Multiple Choice,Học thuyết giá trị thặng dư.,Học thuyết duy vật biện chứng.,Học thuyết duy vật lịch sử.,Học thuyết về sứ mệnh lịch sử thế giới của giai cấp công nhân.,,1,30,
Học thuyết nào dưới đây của C. Mác và Ph. Ăngghen đã khắc phục được một cách triệt để những hạn chế có tính lịch sử của chủ nghĩa xã hội không tưởng; luận chứng sâu sắc về bản chất trên phương diện chính trị - xã hội của sự diệt vong không tránh khỏi của chủ nghĩa tư bản và sự ra đời tất yếu của chủ nghĩa xã hội?,Multiple Choice,Học thuyết về sứ mệnh lịch sử thế giới của giai cấp công nhân.,Học thuyết duy vật biện chứng.,Học thuyết duy vật lịch sử.,Học thuyết giá trị thặng dư.,,1,30,
Tác phẩm nào dưới đây đánh dấu sự ra đời của chủ nghĩa Mác - Lênin với tư cách là chủ nghĩa xã hội khoa học theo nghĩa rộng?,Multiple Choice,Tình cảnh giai cấp công nhân Anh.,Những nguyên lí của chủ nghĩa cộng sản.,Tuyên ngôn của Đảng Cộng sản.,Điều lệ của Đồng minh những người cộng sản.,,3,30,
Tác phẩm Tuyên ngôn của Đảng Cộng sản ra đời vào,Multiple Choice,tháng 2 năm 1842.,tháng 8 năm 1842.,tháng 8 năm 1848.,tháng 2 năm 1848.,,4,30,
"Tác phẩm nào dưới đây là cương lĩnh chính trị, là kim chỉ nam hành động của toàn bộ phong trào cộng sản và công nhân quốc tế trong cuộc đấu tranh chống chủ nghĩa tư bản, giải phóng loài người vĩnh viễn khỏi mọi áp bức, bóc lột giai cấp, đảm bảo cho loài người có cuộc sống ấm no, tự do, hạnh phúc, được phát triển toàn diện?",Multiple Choice,Tình cảnh giai cấp công nhân Anh.,Tuyên ngôn của Đảng Cộng sản.,Những nguyên lí của chủ nghĩa cộng sản.,Điều lệ của Đồng minh những người cộng sản.,,2,30,
"Tác phẩm nào dưới đây đã phân tích một cách có hệ thống lịch sử và logic hoàn chỉnh về những vấn đề cơ bản nhất, đầy đủ, xúc tích và chặt chẽ nhất, thâu tóm gần như toàn bộ những luận điểm của chủ nghĩa xã hội?",Multiple Choice,Tình cảnh giai cấp công nhân Anh.,Những nguyên lí của chủ nghĩa cộng sản.,Tuyên ngôn của Đảng Cộng sản.,Điều lệ của Đồng minh những người cộng sản.,,3,30,
Tác phẩm nào dưới đây không được C. Mác và Ph. Ăngghen viết trong giai đoạn từ năm 1848 đến Công xã Pari (1871)?,Multiple Choice,Chống Đuyrinh.,Ngày mười tám tháng Sương mù của Lui Bônapactơ.,Chiến tranh nông dân ở Đức.,Cách mạng và phản cách mạng ở Đức.,,1,30,
Tác phẩm nào dưới đây không được C. Mác và Ph. Ăngghen viết trong giai đoạn sau từ Công xã Pari đến năm 1895 (Ph. Ăngghen mất)?,Multiple Choice,Ngày mười tám tháng Sương mù của Lui Bônapactơ.,Nội chiến ở Pháp.,"Nguồn gốc của gia đình, của chế độ tư hữu và của nhà nước.",Sự phát triển của chủ nghĩa xã hội từ không tưởng đến khoa học.,,1,30,
Tác phẩm nào dưới đây không được V.I. Lênin viết trong giai đoạn trước Cách mạng tháng Mười Nga?,Multiple Choice,Bàn về nhà nước.,Làm gì?,"Một bước tiến, hai bước lùi.",Nhà nước và cách mạng.,,1,30,
Tác phẩm nào dưới đây không được V.I. Lênin viết trong giai đoạn sau Cách mạng tháng Mười Nga?,Multiple Choice,Cách mạng vô sản và tên phản bội Causky.,Những nhiệm vụ trước mắt của chính quyền Xô viết.,Bàn về nhà nước.,Những người bạn dân là thế nào và họ đấu tranh chống những người dân chủ ra sao?,,4,30,
Phát triển chủ nghĩa xã hội từ không tưởng đến khoa học là công lao của,Multiple Choice,G.W.F. Hegel.,V.L Lênin.,C . Mác và Ph. Ăngghen.,TV. Stalin.,,3,30,
Biến chủ nghĩa xã hội khoa học từ lí luận thành hiện thực là công lao của:,Multiple Choice,V.I. Lênin.,G.W.F. Hegel.,C . Mác và Ph. Ăngghen.,TV. Stalin.,,1,30,
"Người trực tiếp lãnh đạo Đảng của giai cấp công nhân Nga tập hợp lực lượng đấu tranh chống chế độ chuyên chế Nga hoàng, tiến tới giành chính quyền về tay giai cấp công nhân và nhân dân lao động Nga là",Multiple Choice,C . Mác và Ph. Ăngghen.,I.V. Stalin,V.I. Lênin.,G. Dimitrov.,,3,30,
"Giai đoạn nào dưới đây được coi là ""Thời đoạn Stalin"" trực tiếp vận dụng và phát triển chủ nghĩa xã hội khoa học?",Multiple Choice,1920- 1945.,1924- 1945.,1924-1953.,1945- 1953.,,3,30,
Bằng con đường nào để thực hiện bước chuyển biến thay thế chủ nghĩa tư bản bằng chủ nghĩa xã hội thì đó là nhiệm vụ của,Multiple Choice,Triết học Mác – Lênin.,Kinh tế chính trị Mác - Lênin.,Chủ nghĩa xã hội hiện thực.,Chủ nghĩa xã hội khoa học.,,4,30,
"Phê phán, đấu tranh bác bỏ những trào lưu tư tưởng chống cộng, chống chủ nghĩa xã hội, bảo vệ sự trong sáng của chủ nghĩa Mác - Lênin và những thành quả của cách mạng xã hội chủ nghĩa là một nhiệm vụ vô cùng quan trọng của",Multiple Choice,chủ nghĩa xã hội không tưởng.,chủ nghĩa xã hội không tưởng phê phán.,chủ nghĩa Mác - Lênin.,chủ nghĩa xã hội khoa học.,,4,30,
"Những quy luật, tính quy luật chính trị - xã hội của quá trình phát sinh và phát triển của hình thái kinh tế - xã hội cộng sản chủ nghĩa mà giai đoạn thấp là chủ nghĩa xã hội; Những nguyên tắc cơ bản, những điều kiện, những con đường và hình thức, phương pháp đấu tranh cách mạng của giai cấp công nhân và nhân dân lao động nhằm hiện thực hóa sự chuyển biến từ chủ nghĩa tư bản lên chủ nghĩa xã hội và chủ nghĩa cộng sản là đối tượng nghiên cứu của",Multiple Choice,Triết học Mác - Lênin.,Kinh tế chính trị Mác - Lênin.,Chủ nghĩa xã hội hiện thực.,Chủ nghĩa xã hội khoa học.,,4,30,
Luận chứng một cách khoa học tính tất yếu về mặt lịch sử sự thay thế của chủ nghĩa tư bản bằng chủ nghĩa xã hội gắn liền với sứ mệnh lịch sử thế giới của giai cấp công nhân là nhiệm vụ của,Multiple Choice,chủ nghĩa xã hội khoa học.,chủ nghĩa xã hội không tưởng.,chủ nghĩa xã hội không tưởng phê phán.,triết học Mác - Lênin.,,1,30,
Nội dung nào dưới đây được coi là phương pháp luận chung nhất cho việc nghiên cứu chủ nghĩa xã hội khoa học?,Multiple Choice,Phương pháp luận duy vật biện chứng và phương pháp luận duy vật lịch sử của triết học Mác - Lênin.,Phương pháp luận duy tâm biện chứng của Hegel và phương pháp luận duy vật nhân bản của Feuerbach.,Phương pháp trừu tượng hóa khoa học.,Phương pháp logic và lịch sử.,,1,30,
Nội dung nào dưới đây không phải là phương pháp nghiên cứu cụ thể của chủ nghĩa xã hội khoa học?,Multiple Choice,Phương pháp logic và lịch sử.,Phương pháp khảo sát và phân tích về mặt chính trị - xã hội.,Các phương pháp có tính liên ngành.,Phương pháp trừu tượng hóa khoa học.,,4,30,
"Góp phần quan trọng việc giáo dục niềm tin khoa học cho nhân dân vào mục tiêu, lí tưởng xã hội chủ nghĩa và con đường đi lên chủ nghĩa xã hội là nội dung thể hiện",Multiple Choice,ý nghĩa của việc nghiên cứu chủ nghĩa xã hội khoa học.,nội dung của chủ nghĩa xã hội khoa học.,sứ mệnh của giai cấp công nhân Việt Nam.,sứ mệnh của giai cấp công nhân quốc tế.,,1,30,
