Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link
Giữa giai cấp công nhân và giai cấp nông dân có,Multiple Choice,toàn bộ lợi ích thống nhất với nhau.,nhiều lợi ích cơ bản thống nhất với nhau.,lợi ích hoàn toàn khác nhau.,lợi ích hoàn toàn đối lập nhau.,,2,30,
Quan điểm nào dưới đây không đúng về giai cấp công nhân?,Multiple Choice,Giai cấp công nhân là giai cấp không đại diện cho quan hệ sản xuất tiên tiến.,"Giai cấp công nhân là một tập đoàn xã hội ổn định, hình thành và phát triển cùng với quá trình phát triển của nền công nghiệp hiện đại.",Giai cấp công nhân là lực lượng chủ yếu của tiến trình lịch sử quá độ từ chủ nghĩa tư bản lên chủ nghĩa xã hội.,Giai cấp công nhân là chủ thể của quá trình sản xuất vật chất hiện đại.,,1,30,
Phát biểu nào dưới đây không đúng về giai cấp công nhân?,Multiple Choice,"Giai cấp công nhân là người làm thuê do không có tư liệu sản xuất, buộc phải bán sức lao động để sống, không bị giai cấp tư sản bóc lột giá trị thặng dư.","Giai cấp công nhân là người làm thuê do không có tư liệu sản xuất, buộc phải bán sức lao động để sống và bị giai cấp tư sản bóc lột giá trị thặng dư.",Lợi ích cơ bản của giai cấp công nhân đối lập với lợi ích cơ bản của giai cấp tư sản.,"Giai cấp công nhân là giai cấp có sứ mệnh phủ định chế độ tư bản chủ nghĩa, xây dựng thành công chủ nghĩa xã hội và chủ nghĩa cộng sản trên toàn thế giới.",,1,30,
Phát biểu nào dưới đây không phải là đặc điểm của giai cấp công nhân mang sứ mệnh lịch sử thế giới?,Multiple Choice,Giai cấp công nhân là giai cấp đại diện cho lực lượng sản xuất tiến bộ của thời đại.,Giai cấp công nhân là lực lượng đông đảo và tiên phong.,Giai cấp công nhân là lực lượng đại diện cho khuynh hướng tiến bộ của nhân loại.,Giai cấp công nhân là lực lượng tiến bộ nhưng chỉ bảo vệ lợi ích cho giai cấp mình.,,4,30,
Nội dung nào dưới đây không phải là sứ mệnh lịch sử thế giới của giai cấp công nhân?,Multiple Choice,"Xoá bỏ tận gốc chế độ người bóc lột người, giải phóng cho giai cấp tư sản.",Giải phóng cho giai cấp công nhân và toàn thể nhân loại bị áp bức.,"Xoá bỏ tận gốc chế độ người bóc lột người, xoá bỏ chủ nghĩa tư bản.",Xây dựng xã hội cộng sản chủ nghĩa văn minh.,,1,30,
Mục tiêu nào dưới đây là mục tiêu lớn nhất mà giai cấp công nhân thực hiện?,Multiple Choice,Xoá bỏ tận gốc chế độ tư bản chủ nghĩa.,Xoá bỏ tận gốc chế độ người bóc lột người.,Xoá bỏ tận gốc chế độ phong kiến.,Xoá bỏ tận gốc chế độ nô lệ làm thuê.,,2,30,
Quan điểm nào sau đây phản ánh đúng về việc xoá bỏ hình thái kinh tế - xã hội tư bản chủ nghĩa?,Multiple Choice,Xoá bỏ cả quan hệ sản xuất bóc lột và lực lượng sản xuất trong chủ nghĩa tư bản.,Xoá bỏ lực lượng sản xuất và kế thừa thành tựu tiến bộ về quan hệ sản xuất trong chủ nghĩa tư bản.,Xoá bỏ quan hệ sản xuất bóc lột và kế thừa thành tựu tiến bộ về lực lượng sản xuất trong chủ nghĩa tư bản.,Xoá bỏ văn hóa và tư tưởng bóc lột trong chủ nghĩa tư bản.,,3,30,
"Trong chủ nghĩa tư bản, mục tiêu của công nhân là xoá bỏ quan hệ sản xuất dựa trên chế độ",Multiple Choice,công hữu về tư liệu sản xuất chủ yếu.,sở hữu chung về tư liệu sản xuất chủ yếu.,sở hữu công cộng về tư liệu sản xuất chủ yếu.,sở hữu tư nhân tư bản chủ nghĩa về tư liệu sản xuất chủ yếu.,,4,30,
"Muốn thực hiện sứ mệnh lịch sử thế giới của mình, giai cấp công nhân phải",Multiple Choice,"lật đổ sự thống trị của giai cấp vô sản, giành chính quyền về tay giai cấp mình, thiết lập nhà nước, cải tạo xã hội cũ, xây dựng xã hội mới.","lật đổ sự thống trị của giai cấp tiểu tư sản, giành chính quyền về tay giai cấp mình, cải tạo xã hội cũ, xây dựng xã hội mới.","lật đổ sự thống trị của bộ phận đại tư sản, giành chính quyền về tay giai cấp mình, cải tạo xã hội cũ, xây dựng xã hội mới.","lật đổ sự thống trị của giai cấp tư sản, giành chính quyền về tay giai cấp mình, thiết lập nhà nước chuyên chính vô sản, cải tạo xã hội cũ, xây dựng xã hội mới.",,4,30,
"Để thực hiện sứ mệnh lịch sử của mình, bước đầu tiên giai cấp công nhân phải làm là",Multiple Choice,"xoá bỏ sự bóc lột đem lại hạnh phúc, ấm no cho nhân dân.","cải tạo xã hội cũ, xây dựng thành công xã hội mới - xã hội cộng sản chủ nghĩa.","liên minh với nông dân, giải phóng cho loài người.","giành chính quyền, thiết lập được nhà nước của giai cấp mình.",,4,30,
"Xoá bỏ quan hệ sản xuất dựa trên chế độ chiếm hữu tư nhân tư bản về tư liệu sản xuất chủ yếu, xây dựng quan hệ sản xuất mới, phù hợp với tính chất xã hội hóa cao của lực lượng sản xuất, với chế độ công hữu về tư liệu sản xuất chủ yếu của xã hội là nhiệm vụ của giai cấp công nhân trên lĩnh vực",Multiple Choice,chính trị - xã hội.,kinh tế.,văn hóa.,tư tưởng.,,2,30,
"Thực hiện công nghiệp hóa, gắn liền công nghiệp hóa với hiện đại hóa, đẩy mạnh công nghiệp hóa gắn với phát triển kinh tế tri thức, bảo vệ tài nguyên, môi trường là nhiệm vụ của giai cấp công nhân trên lĩnh vực",Multiple Choice,chính trị - xã hội.,kinh tế.,văn hóa.,tư tưởng.,,2,30,
"Lật đổ quyền thống trị của giai cấp tư sản, giành quyền lực về tay giai cấp công nhân và nhân dân lao động, thiết lập nhà nước mang bản chất giai cấp công nhân, xây dựng nền dân chủ xã hội chủ nghĩa, thực hiện quyền lực của nhân dân, quyền dân chủ và làm chủ xã hội của tuyệt đại đa số nhân dân lao động là nhiệm vụ của giai cấp công nhân trên lĩnh vực",Multiple Choice,kinh tế.,văn hóa.,chính trị - xã hội.,tư tưởng.,,3,30,
"Sử dụng nhà nước của mình để cải tạo xã hội cũ và tổ chức xây dựng xã hội mới, phục vụ quyền và lợi ích của nhân dân lao động theo lí tưởng và mục tiêu của chủ nghĩa xã hội là nhiệm vụ của giai cấp công nhân trên lĩnh vực",Multiple Choice,kinh tế.,văn hóa.,chính trị - xã hội.,tư tưởng.,,3,30,
Xây dựng hệ giá trị mới: lao động; công bằng; dân chủ; bình đẳng và tự do là nhiệm vụ của giai cấp công nhân trên lĩnh vực,Multiple Choice,"văn hóa, tư tưởng.",kinh tế.,chính trị.,xã hội.,,1,30,
"Xây dựng và củng cố ý thức hệ tiên tiến của giai cấp công nhân, đấu tranh để khắc phục ý thức hệ tư sản và các tàn dư còn sót lại của các hệ tư tưởng cũ là nhiệm vụ của giai cấp công nhân trên lĩnh vực",Multiple Choice,kinh tế.,chính trị.,"văn hóa, tư tưởng.",xã hội.,,3,30,
"Tiếp thu có chọn lọc, trên tinh thần phê phán những tinh hoa giá trị, những thành tựu văn hóa tư tưởng của mọi thời đại, kể cả thời đại tư sản trong lịch sử văn hóa và văn minh của nhân loại là điều mà giai cấp công nhân cần chú ý khi thực hiện sứ mệnh của mình trong lĩnh vực nào dưới đây?",Multiple Choice,Kinh tế.,Chính trị.,Xã hội.,"Văn hóa, tư tưởng.",,4,30,
"Cải tạo cái cũ, lỗi thời, lạc hậu, xây dựng cái mới, tiến bộ trong lĩnh vực ý thức tư tưởng, trong tâm lí, lối sống và trong đời sống tinh thần xã hội là nhiệm vụ của giai cấp công nhân trong lĩnh vực",Multiple Choice,"tâm lí, ý thức.",chính trị.,"văn hóa, tư tưởng.",Kinh tế - xã hội.,,3,30,
"Xây dựng con người mới, đạo đức và lối sống mới xã hội chủ nghĩa là một trong những nhiệm vụ đặt ra đối với sứ mệnh lịch sử của giai cấp công nhân trong lĩnh vực nào dưới đây?",Multiple Choice,"Tâm lí, ý thức.","Văn hóa, tư tưởng.",Đạo đức.,Xã hội.,,2,30,
Sứ mệnh lịch sử của giai cấp công nhân không phải là thay thế chế độ sở hữu tư nhân này bằng một chế độ sở hữu tư nhân khác mà là,Multiple Choice,xoá bỏ một phần chế độ tư hữu về tư liệu sản xuất chủ yếu.,xoá bỏ hoàn toàn chế độ công hữu về tư liệu sản xuất chủ yếu.,xoá bỏ triệt để tư hữu về tư liệu sản xuất chủ yếu.,xoá bỏ phần lớn chế độ tư hữu về tư liệu sản xuất chủ yếu.,,3,30,
Mục tiêu cao nhất trong việc thực hiện sứ mệnh lịch sử thế giới của giai cấp công nhân là,Multiple Choice,giải phóng dân tộc khỏi ách áp bức của chủ nghĩa thực dân.,giải phóng nông dân khỏi chế độ phong kiến.,giải phóng con người.,"giành chính quyền, thiết lập nhà nước mới.",,3,30,
"Câu nói: ""Cùng với sự phát triển của đại công nghiệp (...) giai cấp tư sản sản sinh ra người đào huyệt chôn chính nó. Sự sụp đổ của giai cấp tư sản và thắng lợi của giai cấp vô sản đều là tất yếu như nhau"" phản ánh nội dung nào dưới đây?",Multiple Choice,Khẳng định tính tất yếu chủ quan trong sứ mệnh lịch sử của giai cấp công nhân.,Khẳng định tính tất yếu khách quan trong sứ mệnh lịch sử của giai cấp công nhân.,Khẳng định nguyện vọng được giải phóng mình của nhân dân lao động.,Nhấn mạnh vai trò của Đảng Cộng sản trong việc thực hiện sứ mệnh lịch sử thế giới của giai cấp công nhân.,,2,30,
Sứ mệnh lịch sử thế giới của giai cấp công nhân được quy định bởi,Multiple Choice,"địa vị kinh tế, chính trị - xã hội của giai cấp công nhân.",nguyện vọng của giai cấp công nhân.,sự lãnh đạo của Đảng Cộng sản đối với giai cấp công nhân.,nguyện vọng của nhân dân lao động.,,1,30,
"Giai cấp công nhân là sản phẩm của nền đại công nghiệp trong phương thức sản xuất tư bản chủ nghĩa, là chủ thể của quá trình sản xuất vật chất hiện đại, vì thế, giai cấp công nhân đại diện cho",Multiple Choice,phương thức sản xuất lỗi thời và lực lượng sản xuất hiện đại.,phương thức sản xuất tiên tiến và lực lượng sản xuất lạc hậu.,phương thức sản xuất tiên tiến và lực lượng sản xuất hiện đại.,phương thức sản xuất lỗi thời và lực lượng sản xuất lạc hậu.,,3,30,
"Giai cấp công nhân là sản phẩm của nền đại công nghiệp trong phương thức sản xuất tư bản chủ nghĩa, là chủ thể của quá trình sản xuất vật chất hiện đại, vì thế, giai cấp công nhân là lực lượng",Multiple Choice,"phá vỡ quan hệ sản xuất phong kiến, giành chính quyền về tay giai cấp mình.","phá vỡ quan hệ sản xuất xã hội chủ nghĩa, giành chính quyền về tay giai cấp mình.","phá vỡ quan hệ sản xuất tư bản chủ nghĩa, giành chính quyền cho giai cấp nông dân.","phá vỡ quan hệ sản xuất tư bản chủ nghĩa, giành chính quyền về tay giai cấp mình.",,4,30,
"Tinh thần đoàn kết, ý thức tổ chức kỉ luật cao là nội dung thể hiện",Multiple Choice,địa vị kinh tế - xã hội của giai cấp công nhân.,thói quen của giai cấp công nhân.,đặc điểm chính trị - xã hội của giai cấp công nhân.,đặc điểm vốn có của con người nói chung.,,3,30,
Phát biểu nào dưới đây không đúng về điều kiện khách quan quy định sứ mệnh lịch sử thế giới của giai cấp công nhân?,Multiple Choice,Giai cấp công nhân đại diện cho lực lượng sản xuất hiện đại.,Giai cấp công nhân đại diện cho phương thức sản xuất tiên tiến.,"Giai cấp công nhân là giai cấp đại biểu cho tương lai, cho xu thế đi lên của tiến trình phát triển lịch sử.",Giai cấp công nhân là giai cấp vô cùng nghèo khổ.,,4,30,
"Giai cấp công nhân đại diện cho lực lượng sản xuất hiện đại, là lực lượng quyết định phá vỡ",Multiple Choice,quan hệ sản xuất tư bản chủ nghĩa.,máy móc trong các nhà máy xí nghiệp của các nhà tư sản.,quan hệ giữa tư sản và các giai tầng khác trong xã hội tư bản chủ nghĩa.,chủ nghĩa tư bản độc quyền.,,1,30,
"Giai cấp nông dân không thể là giai cấp có sứ mệnh lịch sử thế giới xoá bỏ chế độ tư bản chủ nghĩa, xây dựng chế độ xã hội mới - cộng sản chủ nghĩa bởi",Multiple Choice,họ không đại diện cho phương thức sản xuất tiên tiến.,họ có tư tưởng sở hữu lớn.,họ có số lượng không đông đảo.,họ có hệ tư tưởng riêng nhưng thiếu tinh thần đoàn kết.,,1,30,
Nội dung nào dưới đây không phải là đặc điểm chính trị - xã hội của giai cấp công nhân?,Multiple Choice,Tiên phong cách mạng và có tinh thần cách mạng triệt để nhất.,Đại diện cho lực lượng sản xuất hiện đại.,Có bản chất quốc tế.,"Có ý thức, kỉ luật cao.",,2,30,
Nội dung nào dưới đây không phải là nguyên nhân của việc giai cấp công nhân có tính tổ chức kỉ luật cao?,Multiple Choice,Đặc thù môi trường làm việc là dây chuyền sản xuất công nghiệp.,Bản chất sẵn có của công nhân.,Sự quản lí chặt chẽ của giai cấp tư sản.,Yêu cầu của đấu tranh cách mạng.,,2,30,
Nội dung nào dưới đây không phải là điều kiện chủ quan quy định sứ mệnh lịch sử thế giới của giai cấp công nhân?,Multiple Choice,Sự lớn mạnh về số lượng của giai cấp công nhân.,Sự ra đời của Đảng Cộng sản - đội tiên phong của giai cấp công nhân.,Giai cấp công nhân đại diện cho phương thức sản xuất tiên tiến.,Giai cấp công nhân đã nhận thức được vai trò và trọng trách của giai cấp mình đối với lịch sử.,,3,30,
"Lực lượng ngày càng đông đảo, tỉ lệ và cơ cấu của giai cấp công nhân phù hợp với yêu cầu của sản xuất công nghiệp hiện đại và cơ cấu kinh tế là nội dung thể hiện sự phát triển của giai cấp công nhân về",Multiple Choice,chất lượng.,cơ cấu.,số lượng.,tổ chức.,,3,30,
"Tự giác nhận thức được vai trò và trọng trách của giai cấp mình đối với lịch sử, năng lực, trình độ làm chủ khoa học kĩ thuật và công nghệ hiện đại là nội dung thể hiện sự phát triển của giai cấp công nhân về",Multiple Choice,chất lượng.,số lượng.,cơ cấu.,tổ chức.,,1,30,
"Tổ chức nào dưới đây là đội tiên phong của giai cấp công nhân, đảm nhận vai trò lãnh đạo giai cấp công nhân và quần chúng nhân dân lao động tiến hành cuộc cách mạng nhằm xoá bỏ chế độ tư bản chủ nghĩa, chế độ người bóc lột người, xây dựng chế độ xã hội mới - cộng sản chủ nghĩa?",Multiple Choice,Nhà nước.,Mặt trận Tổ quốc.,Đảng Cộng sản.,Công đoàn.,,3,30,
"Theo quan điểm của chủ nghĩa Mác - Lênin, quy luật chung, phổ biến cho sự ra đời của Đảng Cộng sản là sự kết hợp giữa chủ nghĩa Mác - Lênin với",Multiple Choice,phong trào yêu nước.,phong trào công nhân.,phong trào giải phóng dân tộc.,phong trào cải cách.,,2,30,
"Lực lượng nào dưới đây là cơ sở xã hội và nguồn bổ sung lực lượng quan trọng nhất của Đảng, làm cho Đảng mang bản chất giai cấp công nhân, trở thành đội tiên phong, bộ tham mưu chiến đấu của lực lượng này?",Multiple Choice,Giai cấp công nhân.,Giai cấp nông dân.,Đội ngũ trí thức.,Tầng lớp doanh nhân.,,1,30,
"Tổ chức nào dưới đây là đại biểu trung thành cho lợi ích của giai cấp công nhân, của dân tộc và xã hội?",Multiple Choice,Công đoàn.,Đảng Cộng sản.,Đoàn Thanh niên.,Mặt trận Tổ quốc.,,2,30,
C. Mác và Ph. Ăngghen đã nhấn mạnh rằng: Giai cấp vô sản chỉ có thể hành động với tư cách là một giai cấp được khi giai cấp vô sản,Multiple Choice,liên minh được với giai cấp nông dân.,tự mình tổ chức thành một chính đảng độc lập của mình.,liên minh được với giai cấp vô sản ở các nước khác.,thành lập được tổ chức công đoàn ở các nhà máy xí nghiệp.,,2,30,
Điều kiện có ý nghĩa quyết định đối với việc hoàn thành sứ mệnh lịch sử của giai cấp công nhân là,Multiple Choice,phải thực hiện liên minh giai cấp.,phải đoàn kết với giai cấp vô sản quốc tế.,"phải có một đảng chính trị vững vàng, kiên định và sáng suốt.",phải có tổ chức đoàn thể trong mỗi nhà máy xí nghiệp.,,3,30,
"Trong quá trình thực hiện sứ mệnh lịch sử thế giới của mình, liên minh giai cấp giữa giai cấp công nhân với giai cấp nông dân và các tầng lớp nhân dân lao động khác trong xã hội là một tất yếu, do",Multiple Choice,giai cấp nông dân lãnh đạo.,đội ngũ trí thức lãnh đạo.,giai cấp công nhân lãnh đạo.,tầng lớp doanh nhân lãnh đạo.,,3,30,
Điều kiện chủ quan có vai trò quyết định nhất trong việc thực hiện sứ mệnh lịch sử thế giới của giai cấp công nhân là,Multiple Choice,sự tăng nhanh về số lượng.,giai cấp công nhân liên minh được với giai cấp nông dân.,sự phát triển cao về trình độ tay nghề.,"sự trưởng thành của giai cấp công nhân, đặc biệt là khi có Đảng tiên phong lãnh đạo.",,4,30,
Đảng Cộng sản là,Multiple Choice,tổ chức quản lí kinh tế - xã hội.,tổ chức chính trị cao nhất của toàn dân tộc.,tổ chức chính trị cao nhất của giai cấp nông dân.,tổ chức chính trị cao nhất của giai cấp công nhân.,,4,30,
Đảng Cộng sản Việt Nam ra đời là sự kết hợp giữa,Multiple Choice,chủ nghĩa yêu nước với phong trào công nhân.,chủ nghĩa Mác - Lênin với phong trào công nhân.,"chủ nghĩa Mác - Lênin, tư tưởng Hồ Chí Minh với phong trào công nhân.",Chủ nghĩa Mác - Lênin với phong trào công nhân và phong trào yêu nước.,,4,30,
"Đối với Đảng Cộng sản, giai cấp công nhân là cơ sở xã hội và là",Multiple Choice,lực lượng lãnh đạo Đảng.,đồng minh vững chắc của Đảng.,lực lượng cổ vũ phong trào đấu tranh của Đảng.,nguồn bổ sung lực lượng cho Đảng.,,4,30,
"Điền từ ngữ thích hợp vào chỗ trống: ... là cơ sở xã hội của Đảng Cộng sản, là .. của Đảng cộng sản.",Multiple Choice,Giai cấp công nhân; nguồn bổ sung lực lượng,Giai cấp công nhân; lực lượng lãnh đạo,Giai cấp nông nhân; đồng minh vững chắc,Giai cấp nông nhân; lực lượng cổ vũ phong trào đấu tranh,,1,30,
Điền từ ngữ thích hợp vào chỗ trống: Đảng Cộng sản Việt Nam ra đời là sản phẩm của sự kết hợp giữa chủ nghĩa Mác - Lênin với phong trào công nhân và ...........................................,Multiple Choice,phong trào yêu nước.,chủ nghĩa yêu nước.,truyền thống yêu nước.,lòng yêu nước.,,1,30,
Quan điểm nào sau đây không đúng về Đảng Cộng sản?,Multiple Choice,Đảng Cộng sản là nơi tập trung những người ưu tú nhất trong giai cấp công nhân.,Đảng Cộng sản là nơi tập trung những người giác ngộ cao nhất lí luận của chủ nghĩa Mác - Lênin.,Đảng Cộng sản là nơi tập trung những quần chúng nhân dân ưu tú nhất.,Đảng Cộng sản là nơi tập trung những trí thức xuất sắc nhất trong xã hội.,,4,30,
"Cải cách, đổi mới để xây dựng chủ nghĩa xã hội ở các nước xã hội chủ nghĩa, nơi giai cấp công nhân thông qua đội tiên phong của mình là Đảng Cộng sản đang cầm quyền, đây là sứ mệnh của giai cấp công nhân hiện nay trong lĩnh vực nào dưới đây?",Multiple Choice,Kinh tế.,Văn hóa.,Chính trị - xã hội.,Tư tưởng.,,3,30,
Mục tiêu đấu tranh trực tiếp của giai cấp công nhân và phong trào công nhân ở các nước tư bản hiện nay là,Multiple Choice,"giành chính quyền, thiết lập nhà nước.",xoá bỏ chế độ tư bản chủ nghĩa.,chống bất công và bất bình đẳng xã hội.,"xây dựng chế độ xã hội mới công bằng, bình đẳng.",,3,30,
Mục tiêu đấu tranh lâu dài của giai cấp công nhân và phong trào công nhân ở các nước tư bản hiện nay là,Multiple Choice,chống bất công và bất bình đẳng xã hội.,giành chính quyền về tay giai cấp công nhân và nhân dân lao động.,nâng cao vị thế của giai cấp công nhân.,"chống áp bức giai cấp, chống bóc lột giá trị thặng dư.",,2,30,
"Ở các nước xã hội chủ nghĩa, lãnh đạo thành công sự nghiệp đổi mới, giải quyết thành công các nhiệm vụ trong thời kì quá độ lên chủ nghĩa xã hội, thực hiện thành công sự nghiệp công nghiệp hóa, hiện đại hóa, đưa đất nước phát triển nhanh và bền vững là nhiệm vụ hiện nay của giai cấp công nhân trong lĩnh vực nào dưới đây?",Multiple Choice,Kinh tế.,Chính trị - xã hội.,Văn hóa.,Tư tưởng.,,2,30,
"Đấu tranh để bảo vệ nền tảng tư tưởng của Đảng Cộng sản, giáo dục nhận thức và củng cố niềm tin khoa học đối với lí tưởng, mục tiêu của chủ nghĩa xã hội cho giai cấp công nhân và nhân dân lao động,... là nhiệm vụ hiện nay của giai cấp công nhân trong lĩnh vực nào dưới đây?",Multiple Choice,Kinh tế.,"Văn hóa, tư tưởng.",Chính trị - xã hội.,Nhận thức.,,2,30,
"Cũng giống như thế kỉ XIX, ở các nước tư bản chủ nghĩa hiện nay, công nhân vẫn bị giai cấp tư sản và chủ nghĩa tư bản",Multiple Choice,bóc lột giá trị thặng dư.,bắt lao động trong điều kiện vô cùng khắc nghiệt.,trả lương không đủ để chi trả cho nhu cầu tối thiểu của cuộc sống hằng ngày.,"ép buộc lao động 14 tiếng, thậm chí 16 tiếng/ngày.",,1,30,
Nội dung nào dưới đây không đúng khi nói về sự tương đồng giữa công nhân hiện nay và công nhân thế kỉ XIX?,Multiple Choice,"Ở các nước tư bản, giai cấp công nhân hiện nay đã có được trung lưu hóa nên họ không còn sứ mệnh lịch sử thế giới nữa.",Giai cấp công nhân vẫn là lực lượng sản xuất hàng đầu trong xã hội hiện đại.,"Ở các nước tư bản, giai cấp công nhân vẫn bị giai cấp tư sản và chủ nghĩa tư bản bóc lột về giá trị thặng dư.","Phong trào cộng sản và công nhân ở nhiều nước vẫn là lực lượng đi đầu trong cuộc đấu tranh vì hoà bình, hợp tác và phát triển.",,1,30,
"Gắn liền với cách mạng khoa học và công nghệ hiện đại, với sự phát triển kinh tế tri thức, công nhân hiện đại có xu hướng",Multiple Choice,bần cùng hóa.,trí tuệ hóa.,tha hóa.,nông dân hóa.,,2,30,
"Ngày nay, công nhân được đào tạo chuẩn mực và thường xuyên được đào tạo lại, đáp ứng sự thay đổi nhanh chóng của công nghệ trong nền sản xuất, điều này đã làm xuất hiện xu hướng",Multiple Choice,bần cùng hóa giai cấp công nhân.,tha hóa giai cấp công nhân.,trí tuệ hóa giai cấp công nhân.,nông dân hóa giai cấp công nhân.,,3,30,
"Ở các nước xã hội chủ nghĩa, giai cấp công nhân đã trở thành",Multiple Choice,giai cấp có vai trò tương đối quan trọng đối với sự phát triển của xã hội.,giai cấp có vai trò ngày càng mờ nhạt đối với sự phát triển của xã hội.,giai cấp lãnh đạo thông qua tổ chức tiên phong của nó là Đảng Cộng sản.,giai cấp không còn vai trò lãnh đạo cách mạng.,,3,30,
Đại biểu cho giai cấp công nhân ngày nay là đội ngũ,Multiple Choice,công nhân nông nghiệp.,công nhân làm việc trong các công xưởng thủ công.,công nhân tri thức.,công nhân cơ khí.,,3,30,
